Cas: 0.00, X: 100.00, Y: 30.00, V_X: 0.00, V_Y: 0.00, P: 15.00, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.04, X: 100.00, Y: 30.00, V_X: 0.00, V_Y: -0.25, P: 15.00, L: 80.00, R: 120.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 0.09, X: 99.99, Y: 29.97, V_X: -0.31, V_Y: -0.61, P: 14.97, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.66, X: 99.81, Y: 28.46, V_X: -0.31, V_Y: -4.64, P: 14.97, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.87, X: 99.75, Y: 27.61, V_X: -0.31, V_Y: -3.60, P: 14.77, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.03, X: 99.70, Y: 26.96, V_X: -0.31, V_Y: -4.70, P: 14.77, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.24, X: 99.63, Y: 26.08, V_X: -0.31, V_Y: -3.65, P: 14.56, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.34, X: 99.60, Y: 25.66, V_X: -0.31, V_Y: -4.38, P: 14.56, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.50, X: 99.55, Y: 25.04, V_X: -0.31, V_Y: -3.60, P: 14.40, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.66, X: 99.50, Y: 24.38, V_X: -0.31, V_Y: -4.70, P: 14.40, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.86, X: 99.44, Y: 23.51, V_X: -0.31, V_Y: -3.66, P: 14.19, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.97, X: 99.41, Y: 23.09, V_X: -0.31, V_Y: -4.39, P: 14.19, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.13, X: 99.36, Y: 22.46, V_X: -0.31, V_Y: -3.61, P: 14.03, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.28, X: 99.31, Y: 21.81, V_X: -0.31, V_Y: -4.71, P: 14.03, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.49, X: 99.24, Y: 20.94, V_X: -0.31, V_Y: -3.66, P: 13.83, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.60, X: 99.21, Y: 20.51, V_X: -0.31, V_Y: -4.39, P: 13.83, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
