Cas: 0.00, X: 150.00, Y: 120.00, V_X: 0.00, V_Y: -3.00, P: 25.00, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.05, X: 150.00, Y: 119.83, V_X: 0.00, V_Y: -3.36, P: 25.00, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 1.67, X: 142.11, Y: 105.18, V_X: -9.73, V_Y: -14.71, P: 24.19, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.88, X: 139.95, Y: 102.21, V_X: -10.98, V_Y: -13.67, P: 23.88, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 1.99, X: 138.77, Y: 100.75, V_X: -11.61, V_Y: -14.40, P: 23.82, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.14, X: 136.88, Y: 98.56, V_X: -12.55, V_Y: -13.62, P: 23.59, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.30, X: 134.84, Y: 96.34, V_X: -13.49, V_Y: -14.72, P: 23.51, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.46, X: 132.66, Y: 94.10, V_X: -14.43, V_Y: -13.94, P: 23.28, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.51, X: 131.91, Y: 93.38, V_X: -14.43, V_Y: -13.67, P: 23.22, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.61, X: 130.40, Y: 91.91, V_X: -14.43, V_Y: -14.41, P: 23.22, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.77, X: 128.14, Y: 89.71, V_X: -14.43, V_Y: -13.62, P: 23.07, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.93, X: 125.88, Y: 87.49, V_X: -14.43, V_Y: -14.72, P: 23.07, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.14, X: 122.85, Y: 84.51, V_X: -14.43, V_Y: -13.67, P: 22.86, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.24, X: 121.34, Y: 83.04, V_X: -14.43, V_Y: -14.40, P: 22.86, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.40, X: 119.09, Y: 80.85, V_X: -14.43, V_Y: -13.62, P: 22.70, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.55, X: 116.83, Y: 78.63, V_X: -14.43, V_Y: -14.72, P: 22.70, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.76, X: 113.81, Y: 75.67, V_X: -14.43, V_Y: -13.67, P: 22.49, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.87, X: 112.32, Y: 74.21, V_X: -14.43, V_Y: -14.40, P: 22.49, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.02, X: 110.05, Y: 72.01, V_X: -14.43, V_Y: -13.62, P: 22.34, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.18, X: 107.78, Y: 69.78, V_X: -14.43, V_Y: -14.72, P: 22.34, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.39, X: 104.76, Y: 66.81, V_X: -14.43, V_Y: -13.67, P: 22.13, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.49, X: 103.26, Y: 65.34, V_X: -14.43, V_Y: -14.40, P: 22.13, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.65, X: 100.99, Y: 63.14, V_X: -14.43, V_Y: -13.62, P: 21.97, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.81, X: 98.73, Y: 60.92, V_X: -14.43, V_Y: -14.71, P: 21.97, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.02, X: 95.72, Y: 57.96, V_X: -14.43, V_Y: -13.67, P: 21.76, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.12, X: 94.21, Y: 56.50, V_X: -14.43, V_Y: -14.40, P: 21.76, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.28, X: 91.95, Y: 54.30, V_X: -14.43, V_Y: -13.62, P: 21.60, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.44, X: 89.69, Y: 52.08, V_X: -14.43, V_Y: -14.71, P: 21.60, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.64, X: 86.67, Y: 49.11, V_X: -14.43, V_Y: -13.67, P: 21.39, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.75, X: 85.16, Y: 47.64, V_X: -14.43, V_Y: -14.40, P: 21.39, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.91, X: 82.91, Y: 45.45, V_X: -14.43, V_Y: -13.62, P: 21.24, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 6.06, X: 80.64, Y: 43.23, V_X: -14.43, V_Y: -14.71, P: 21.24, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 6.27, X: 77.62, Y: 40.26, V_X: -14.43, V_Y: -13.67, P: 21.03, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 6.38, X: 76.11, Y: 38.79, V_X: -14.43, V_Y: -14.40, P: 21.03, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 6.43, X: 75.36, Y: 38.05, V_X: -14.43, V_Y: -14.14, P: 20.98, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 6.53, X: 73.89, Y: 36.60, V_X: -13.80, V_Y: -13.62, P: 20.82, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 6.69, X: 71.77, Y: 34.34, V_X: -12.84, V_Y: -14.73, P: 20.74, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 8.83, X: 58.02, Y: 14.27, V_X: -0.01, V_Y: -4.03, P: 17.53, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 8.94, X: 58.02, Y: 13.88, V_X: -0.01, V_Y: -3.51, P: 17.43, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 9.09, X: 58.02, Y: 13.25, V_X: -0.01, V_Y: -4.61, P: 17.43, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 9.30, X: 58.02, Y: 12.40, V_X: -0.01, V_Y: -3.57, P: 17.22, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 9.46, X: 58.02, Y: 11.75, V_X: -0.01, V_Y: -4.66, P: 17.22, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 9.66, X: 58.02, Y: 10.89, V_X: -0.01, V_Y: -3.62, P: 17.01, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 9.82, X: 58.01, Y: 10.23, V_X: -0.01, V_Y: -4.72, P: 17.01, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 9.87, X: 58.01, Y: 10.00, V_X: -0.01, V_Y: -4.46, P: 16.96, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Zdar!
