Cas: 0.00, X: 150.00, Y: 50.00, V_X: 2.00, V_Y: 0.00, P: 25.00, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.04, X: 150.09, Y: 49.99, V_X: 2.00, V_Y: -0.30, P: 25.00, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.21, X: 148.35, Y: 53.03, V_X: -4.98, V_Y: 5.52, P: 23.25, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.54, X: 120.29, Y: 46.81, V_X: -19.01, V_Y: -10.85, P: 22.08, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.55, X: 120.21, Y: 46.77, V_X: -19.04, V_Y: -10.83, P: 22.08, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.55, X: 120.18, Y: 46.75, V_X: -19.05, V_Y: -10.84, P: 22.08, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.55, X: 120.13, Y: 46.72, V_X: -19.06, V_Y: -10.82, P: 22.07, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.55, X: 120.10, Y: 46.70, V_X: -19.07, V_Y: -10.83, P: 22.07, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.56, X: 120.04, Y: 46.67, V_X: -19.09, V_Y: -10.82, P: 22.07, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.56, X: 120.00, Y: 46.65, V_X: -19.11, V_Y: -10.83, P: 22.07, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.56, X: 119.94, Y: 46.61, V_X: -19.12, V_Y: -10.81, P: 22.06, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.56, X: 119.91, Y: 46.60, V_X: -19.13, V_Y: -10.82, P: 22.06, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.57, X: 119.85, Y: 46.56, V_X: -19.15, V_Y: -10.81, P: 22.06, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.57, X: 119.82, Y: 46.55, V_X: -19.16, V_Y: -10.82, P: 22.06, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.57, X: 119.77, Y: 46.52, V_X: -19.18, V_Y: -10.80, P: 22.05, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.57, X: 119.73, Y: 46.50, V_X: -19.19, V_Y: -10.82, P: 22.05, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.58, X: 119.66, Y: 46.46, V_X: -19.21, V_Y: -10.80, P: 22.05, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.58, X: 119.63, Y: 46.44, V_X: -19.22, V_Y: -10.81, P: 22.04, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.58, X: 119.56, Y: 46.40, V_X: -19.24, V_Y: -10.79, P: 22.04, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.58, X: 119.53, Y: 46.38, V_X: -19.25, V_Y: -10.80, P: 22.04, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.59, X: 119.48, Y: 46.35, V_X: -19.27, V_Y: -10.79, P: 22.03, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.59, X: 119.45, Y: 46.34, V_X: -19.28, V_Y: -10.80, P: 22.03, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.59, X: 119.39, Y: 46.30, V_X: -19.30, V_Y: -10.78, P: 22.03, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.59, X: 119.35, Y: 46.28, V_X: -19.31, V_Y: -10.79, P: 22.03, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.60, X: 119.29, Y: 46.25, V_X: -19.33, V_Y: -10.78, P: 22.02, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.60, X: 119.26, Y: 46.23, V_X: -19.34, V_Y: -10.79, P: 22.02, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.60, X: 119.20, Y: 46.20, V_X: -19.35, V_Y: -10.77, P: 22.02, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.60, X: 119.17, Y: 46.18, V_X: -19.36, V_Y: -10.78, P: 22.02, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.61, X: 119.12, Y: 46.15, V_X: -19.38, V_Y: -10.77, P: 22.01, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.61, X: 119.09, Y: 46.13, V_X: -19.39, V_Y: -10.78, P: 22.01, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.61, X: 119.02, Y: 46.10, V_X: -19.41, V_Y: -10.76, P: 22.01, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.61, X: 118.98, Y: 46.08, V_X: -19.42, V_Y: -10.77, P: 22.01, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.62, X: 118.92, Y: 46.04, V_X: -19.44, V_Y: -10.76, P: 22.00, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.62, X: 118.89, Y: 46.03, V_X: -19.45, V_Y: -10.77, P: 22.00, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.62, X: 118.84, Y: 46.00, V_X: -19.47, V_Y: -10.75, P: 22.00, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.62, X: 118.81, Y: 45.98, V_X: -19.48, V_Y: -10.76, P: 21.99, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.62, X: 118.75, Y: 45.95, V_X: -19.49, V_Y: -10.75, P: 21.99, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.63, X: 118.72, Y: 45.93, V_X: -19.50, V_Y: -10.76, P: 21.99, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.63, X: 118.64, Y: 45.89, V_X: -19.53, V_Y: -10.74, P: 21.98, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.63, X: 118.61, Y: 45.87, V_X: -19.54, V_Y: -10.76, P: 21.98, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.64, X: 118.54, Y: 45.83, V_X: -19.56, V_Y: -10.74, P: 21.98, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.64, X: 118.51, Y: 45.82, V_X: -19.57, V_Y: -10.75, P: 21.98, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.64, X: 118.45, Y: 45.78, V_X: -19.59, V_Y: -10.73, P: 21.97, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.64, X: 118.42, Y: 45.77, V_X: -19.60, V_Y: -10.74, P: 21.97, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.65, X: 118.35, Y: 45.73, V_X: -19.62, V_Y: -10.73, P: 21.97, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.65, X: 118.31, Y: 45.71, V_X: -19.63, V_Y: -10.74, P: 21.97, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.65, X: 118.24, Y: 45.67, V_X: -19.65, V_Y: -10.72, P: 21.96, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.65, X: 118.21, Y: 45.65, V_X: -19.66, V_Y: -10.73, P: 21.96, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.66, X: 118.15, Y: 45.62, V_X: -19.68, V_Y: -10.72, P: 21.95, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.66, X: 118.12, Y: 45.61, V_X: -19.69, V_Y: -10.73, P: 21.95, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.66, X: 118.06, Y: 45.57, V_X: -19.70, V_Y: -10.71, P: 21.95, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.66, X: 118.03, Y: 45.55, V_X: -19.72, V_Y: -10.73, P: 21.95, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.67, X: 117.95, Y: 45.51, V_X: -19.74, V_Y: -10.71, P: 21.94, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.67, X: 117.92, Y: 45.49, V_X: -19.75, V_Y: -10.72, P: 21.94, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.67, X: 117.86, Y: 45.46, V_X: -19.77, V_Y: -10.70, P: 21.94, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.67, X: 117.83, Y: 45.44, V_X: -19.78, V_Y: -10.71, P: 21.94, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.67, X: 117.77, Y: 45.41, V_X: -19.79, V_Y: -10.70, P: 21.93, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.68, X: 117.74, Y: 45.40, V_X: -19.80, V_Y: -10.71, P: 21.93, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.68, X: 117.67, Y: 45.36, V_X: -19.82, V_Y: -10.69, P: 21.93, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.68, X: 117.63, Y: 45.34, V_X: -19.84, V_Y: -10.70, P: 21.92, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.68, X: 117.57, Y: 45.30, V_X: -19.85, V_Y: -10.69, P: 21.92, L: 20.00, R: 80.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.69, X: 117.54, Y: 45.29, V_X: -19.86, V_Y: -10.70, P: 21.92, L: 20.00, R: 80.00, nahoru: 1, doleva: 1, doprava: 0
