Cas: 0.00, X: 100.00, Y: 20.00, V_X: -5.00, V_Y: 0.00, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.05, X: 99.76, Y: 19.99, V_X: -5.00, V_Y: -0.33, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.59, X: 97.93, Y: 18.77, V_X: -1.73, V_Y: -4.15, P: 9.73, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.98, X: 97.26, Y: 16.64, V_X: -1.73, V_Y: -6.86, P: 9.73, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.99, X: 97.24, Y: 16.59, V_X: -1.73, V_Y: -6.82, P: 9.72, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.99, X: 97.24, Y: 16.58, V_X: -1.73, V_Y: -6.83, P: 9.72, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.99, X: 97.23, Y: 16.54, V_X: -1.73, V_Y: -6.81, P: 9.72, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.00, X: 97.22, Y: 16.51, V_X: -1.73, V_Y: -6.84, P: 9.72, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.01, X: 97.21, Y: 16.44, V_X: -1.73, V_Y: -6.79, P: 9.71, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.01, X: 97.20, Y: 16.43, V_X: -1.72, V_Y: -6.79, P: 9.70, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.02, X: 97.19, Y: 16.38, V_X: -1.72, V_Y: -6.83, P: 9.70, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.02, X: 97.18, Y: 16.35, V_X: -1.72, V_Y: -6.80, P: 9.70, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.02, X: 97.18, Y: 16.34, V_X: -1.71, V_Y: -6.79, P: 9.69, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.03, X: 97.17, Y: 16.31, V_X: -1.71, V_Y: -6.78, P: 9.69, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.03, X: 97.17, Y: 16.30, V_X: -1.70, V_Y: -6.77, P: 9.69, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.04, X: 97.16, Y: 16.25, V_X: -1.70, V_Y: -6.73, P: 9.68, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.04, X: 97.16, Y: 16.24, V_X: -1.70, V_Y: -6.75, P: 9.68, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.04, X: 97.15, Y: 16.23, V_X: -1.69, V_Y: -6.76, P: 9.68, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.04, X: 97.15, Y: 16.20, V_X: -1.69, V_Y: -6.74, P: 9.68, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.05, X: 97.14, Y: 16.18, V_X: -1.67, V_Y: -6.75, P: 9.67, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.06, X: 97.13, Y: 16.12, V_X: -1.67, V_Y: -6.71, P: 9.67, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.06, X: 97.12, Y: 16.11, V_X: -1.66, V_Y: -6.72, P: 9.66, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.06, X: 97.12, Y: 16.10, V_X: -1.66, V_Y: -6.73, P: 9.66, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.06, X: 97.11, Y: 16.07, V_X: -1.66, V_Y: -6.70, P: 9.66, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
