Cas: 0.00, X: 100.00, Y: 50.00, V_X: 0.00, V_Y: 5.00, P: 20.00, L: 40.00, R: 90.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.05, X: 100.00, Y: 50.24, V_X: 0.00, V_Y: 4.66, P: 20.00, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.22, X: 85.83, Y: 43.82, V_X: -13.04, V_Y: -10.56, P: 18.91, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.23, X: 85.75, Y: 43.76, V_X: -13.08, V_Y: -10.53, P: 18.90, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.23, X: 85.71, Y: 43.73, V_X: -13.09, V_Y: -10.55, P: 18.90, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.24, X: 85.64, Y: 43.68, V_X: -13.13, V_Y: -10.52, P: 18.89, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.24, X: 85.60, Y: 43.64, V_X: -13.15, V_Y: -10.55, P: 18.89, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.25, X: 85.49, Y: 43.56, V_X: -13.19, V_Y: -10.51, P: 18.88, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.25, X: 85.46, Y: 43.53, V_X: -13.21, V_Y: -10.53, P: 18.88, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.26, X: 85.35, Y: 43.44, V_X: -13.26, V_Y: -10.49, P: 18.87, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.26, X: 85.30, Y: 43.40, V_X: -13.28, V_Y: -10.51, P: 18.87, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.27, X: 85.25, Y: 43.37, V_X: -13.30, V_Y: -10.49, P: 18.86, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.27, X: 85.22, Y: 43.34, V_X: -13.32, V_Y: -10.51, P: 18.86, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.28, X: 85.13, Y: 43.27, V_X: -13.36, V_Y: -10.48, P: 18.85, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.28, X: 85.10, Y: 43.24, V_X: -13.37, V_Y: -10.50, P: 18.85, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.28, X: 85.04, Y: 43.20, V_X: -13.40, V_Y: -10.48, P: 18.84, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.28, X: 85.02, Y: 43.18, V_X: -13.41, V_Y: -10.49, P: 18.84, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.29, X: 84.92, Y: 43.10, V_X: -13.45, V_Y: -10.45, P: 18.83, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.30, X: 84.87, Y: 43.06, V_X: -13.48, V_Y: -10.48, P: 18.83, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.30, X: 84.81, Y: 43.02, V_X: -13.50, V_Y: -10.46, P: 18.82, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.30, X: 84.79, Y: 43.00, V_X: -13.51, V_Y: -10.47, P: 18.82, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.31, X: 84.68, Y: 42.92, V_X: -13.56, V_Y: -10.43, P: 18.81, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.31, X: 84.62, Y: 42.88, V_X: -13.58, V_Y: -10.46, P: 18.81, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.32, X: 84.55, Y: 42.82, V_X: -13.61, V_Y: -10.43, P: 18.80, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 0
