Cas: 0.00, X: 100.00, Y: 100.00, V_X: 0.00, V_Y: -10.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.62, X: 100.00, Y: 92.41, V_X: 0.00, V_Y: -14.36, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.63, X: 100.00, Y: 92.34, V_X: 0.00, V_Y: -14.34, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.63, X: 100.00, Y: 92.30, V_X: 0.00, V_Y: -14.36, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.63, X: 100.00, Y: 92.25, V_X: 0.00, V_Y: -14.34, P: 14.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.64, X: 100.00, Y: 92.23, V_X: 0.00, V_Y: -14.35, P: 14.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.64, X: 100.00, Y: 92.19, V_X: 0.00, V_Y: -14.33, P: 14.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.64, X: 100.00, Y: 92.16, V_X: 0.00, V_Y: -14.35, P: 14.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.64, X: 100.00, Y: 92.11, V_X: 0.00, V_Y: -14.33, P: 14.98, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 92.09, V_X: 0.00, V_Y: -14.34, P: 14.98, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 92.05, V_X: 0.00, V_Y: -14.32, P: 14.98, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 92.02, V_X: 0.00, V_Y: -14.33, P: 14.98, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 91.98, V_X: 0.00, V_Y: -14.32, P: 14.98, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 91.96, V_X: 0.00, V_Y: -14.33, P: 14.98, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.66, X: 100.00, Y: 91.91, V_X: 0.00, V_Y: -14.31, P: 14.98, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.66, X: 100.00, Y: 91.88, V_X: 0.00, V_Y: -14.33, P: 14.98, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.66, X: 100.00, Y: 91.83, V_X: 0.00, V_Y: -14.31, P: 14.97, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.67, X: 100.00, Y: 91.81, V_X: 0.00, V_Y: -14.32, P: 14.97, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.67, X: 100.00, Y: 91.76, V_X: 0.00, V_Y: -14.31, P: 14.97, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.67, X: 100.00, Y: 91.74, V_X: 0.00, V_Y: -14.32, P: 14.97, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.67, X: 100.00, Y: 91.70, V_X: 0.00, V_Y: -14.30, P: 14.97, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.68, X: 100.00, Y: 91.66, V_X: 0.00, V_Y: -14.32, P: 14.97, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.68, X: 100.00, Y: 91.57, V_X: 0.00, V_Y: -14.29, P: 14.96, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.68, X: 100.00, Y: 91.54, V_X: 0.00, V_Y: -14.30, P: 14.96, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.69, X: 100.00, Y: 91.49, V_X: 0.00, V_Y: -14.29, P: 14.96, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.69, X: 100.00, Y: 91.47, V_X: 0.00, V_Y: -14.30, P: 14.96, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.69, X: 100.00, Y: 91.43, V_X: 0.00, V_Y: -14.28, P: 14.95, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.69, X: 100.00, Y: 91.40, V_X: 0.00, V_Y: -14.30, P: 14.95, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.70, X: 100.00, Y: 91.34, V_X: 0.00, V_Y: -14.28, P: 14.95, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.70, X: 100.00, Y: 91.32, V_X: 0.00, V_Y: -14.29, P: 14.95, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.70, X: 100.00, Y: 91.27, V_X: 0.00, V_Y: -14.27, P: 14.95, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.70, X: 100.00, Y: 91.25, V_X: 0.00, V_Y: -14.28, P: 14.95, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.71, X: 100.00, Y: 91.22, V_X: 0.00, V_Y: -14.27, P: 14.94, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.71, X: 100.00, Y: 91.19, V_X: 0.00, V_Y: -14.28, P: 14.94, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.71, X: 100.00, Y: 91.14, V_X: 0.00, V_Y: -14.26, P: 14.94, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.71, X: 100.00, Y: 91.10, V_X: 0.00, V_Y: -14.28, P: 14.94, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
