Cas: 4.59, X: 100.00, Y: 30.03, V_X: 0.00, V_Y: -3.99, P: 7.75, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.66, X: 100.00, Y: 29.74, V_X: 0.00, V_Y: -4.48, P: 7.68, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.82, X: 100.00, Y: 29.11, V_X: 0.00, V_Y: -3.71, P: 7.37, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.89, X: 100.00, Y: 28.79, V_X: 0.00, V_Y: -4.26, P: 7.29, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.97, X: 100.00, Y: 28.49, V_X: 0.00, V_Y: -3.89, P: 7.14, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.04, X: 100.00, Y: 28.20, V_X: 0.00, V_Y: -4.37, P: 7.07, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.17, X: 100.00, Y: 27.67, V_X: 0.00, V_Y: -3.72, P: 6.81, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.25, X: 100.00, Y: 27.36, V_X: 0.00, V_Y: -4.26, P: 6.73, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.33, X: 100.00, Y: 27.02, V_X: 0.00, V_Y: -3.84, P: 6.56, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.40, X: 100.00, Y: 26.76, V_X: 0.00, V_Y: -4.29, P: 6.50, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.48, X: 100.00, Y: 26.41, V_X: 0.00, V_Y: -3.87, P: 6.33, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.54, X: 100.00, Y: 26.16, V_X: 0.00, V_Y: -4.30, P: 6.27, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.66, X: 100.00, Y: 25.68, V_X: 0.00, V_Y: -3.69, P: 6.02, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.73, X: 100.00, Y: 25.42, V_X: 0.00, V_Y: -4.14, P: 5.96, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.81, X: 100.00, Y: 25.12, V_X: 0.00, V_Y: -3.75, P: 5.80, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.88, X: 100.00, Y: 24.82, V_X: 0.00, V_Y: -4.28, P: 5.73, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.96, X: 100.00, Y: 24.48, V_X: 0.00, V_Y: -3.86, P: 5.56, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.03, X: 100.00, Y: 24.21, V_X: 0.00, V_Y: -4.33, P: 5.50, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.16, X: 100.00, Y: 23.69, V_X: 0.00, V_Y: -3.69, P: 5.24, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.22, X: 100.00, Y: 23.45, V_X: 0.00, V_Y: -4.12, P: 5.18, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.30, X: 100.00, Y: 23.14, V_X: 0.00, V_Y: -3.71, P: 5.02, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.37, X: 100.00, Y: 22.85, V_X: 0.00, V_Y: -4.21, P: 4.95, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.44, X: 100.00, Y: 22.56, V_X: 0.00, V_Y: -3.85, P: 4.80, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.51, X: 100.00, Y: 22.30, V_X: 0.00, V_Y: -4.30, P: 4.74, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.63, X: 100.00, Y: 21.82, V_X: 0.00, V_Y: -3.70, P: 4.50, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.69, X: 100.00, Y: 21.58, V_X: 0.00, V_Y: -4.11, P: 4.44, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.76, X: 100.00, Y: 21.31, V_X: 0.00, V_Y: -3.77, P: 4.30, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.82, X: 100.00, Y: 21.05, V_X: 0.00, V_Y: -4.22, P: 4.23, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 6.88, X: 100.00, Y: 20.80, V_X: 0.00, V_Y: -3.92, P: 4.11, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 6.96, X: 100.00, Y: 20.50, V_X: 0.00, V_Y: -4.43, P: 4.04, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 7.12, X: 100.00, Y: 19.83, V_X: 0.00, V_Y: -3.60, P: 3.71, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 7.20, X: 100.00, Y: 19.51, V_X: 0.00, V_Y: -4.17, P: 3.62, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 7.29, X: 100.00, Y: 19.19, V_X: 0.00, V_Y: -3.76, P: 3.46, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 7.37, X: 100.00, Y: 18.86, V_X: 0.00, V_Y: -4.33, P: 3.38, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 7.49, X: 100.00, Y: 18.36, V_X: 0.00, V_Y: -3.71, P: 3.13, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 7.56, X: 100.00, Y: 18.08, V_X: 0.00, V_Y: -4.20, P: 3.06, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 7.63, X: 100.00, Y: 17.83, V_X: 0.00, V_Y: -3.88, P: 2.93, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 7.69, X: 100.00, Y: 17.56, V_X: 0.00, V_Y: -4.34, P: 2.87, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 7.77, X: 100.00, Y: 17.24, V_X: 0.00, V_Y: -3.95, P: 2.71, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 7.84, X: 100.00, Y: 16.95, V_X: 0.00, V_Y: -4.43, P: 2.64, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 7.97, X: 100.00, Y: 16.40, V_X: 0.00, V_Y: -3.77, P: 2.38, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 8.05, X: 100.00, Y: 16.09, V_X: 0.00, V_Y: -4.30, P: 2.30, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 8.12, X: 100.00, Y: 15.81, V_X: 0.00, V_Y: -3.95, P: 2.16, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 8.18, X: 100.00, Y: 15.55, V_X: 0.00, V_Y: -4.38, P: 2.10, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 8.33, X: 100.00, Y: 14.93, V_X: 0.00, V_Y: -3.60, P: 1.79, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 8.41, X: 100.00, Y: 14.63, V_X: 0.00, V_Y: -4.14, P: 1.71, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 8.48, X: 100.00, Y: 14.37, V_X: 0.00, V_Y: -3.81, P: 1.58, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 8.56, X: 100.00, Y: 14.04, V_X: 0.00, V_Y: -4.38, P: 1.50, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 8.70, X: 100.00, Y: 13.46, V_X: 0.00, V_Y: -3.65, P: 1.21, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 8.78, X: 100.00, Y: 13.15, V_X: 0.00, V_Y: -4.20, P: 1.13, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 8.85, X: 100.00, Y: 12.88, V_X: 0.00, V_Y: -3.87, P: 1.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 8.93, X: 100.00, Y: 12.55, V_X: 0.00, V_Y: -4.41, P: 0.92, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 9.09, X: 100.00, Y: 11.89, V_X: 0.00, V_Y: -3.59, P: 0.59, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 9.17, X: 100.00, Y: 11.58, V_X: 0.00, V_Y: -4.17, P: 0.51, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 9.23, X: 100.00, Y: 11.33, V_X: 0.00, V_Y: -3.85, P: 0.38, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 9.30, X: 100.00, Y: 11.07, V_X: 0.00, V_Y: -4.30, P: 0.32, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 9.38, X: 100.00, Y: 10.73, V_X: 0.00, V_Y: -3.90, P: 0.16, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 9.46, X: 100.00, Y: 10.41, V_X: 0.00, V_Y: -4.44, P: 0.08, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 9.50, X: 100.00, Y: 10.24, V_X: 0.00, V_Y: -4.24, P: 0.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 9.55, X: 100.00, Y: 10.00, V_X: 0.00, V_Y: -4.62, P: 0.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Zdar!
