Cas: 0.00, X: 100.00, Y: 20.00, V_X: -5.00, V_Y: 0.00, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.64, X: 96.78, Y: 18.55, V_X: -5.00, V_Y: -4.50, P: 10.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.65, X: 96.77, Y: 18.54, V_X: -5.00, V_Y: -4.50, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.65, X: 96.74, Y: 18.52, V_X: -5.00, V_Y: -4.54, P: 10.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.66, X: 96.70, Y: 18.48, V_X: -5.00, V_Y: -4.49, P: 9.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.66, X: 96.69, Y: 18.46, V_X: -5.00, V_Y: -4.51, P: 9.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.67, X: 96.67, Y: 18.45, V_X: -5.00, V_Y: -4.50, P: 9.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.67, X: 96.63, Y: 18.42, V_X: -5.00, V_Y: -4.54, P: 9.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.68, X: 96.58, Y: 18.37, V_X: -5.00, V_Y: -4.49, P: 9.98, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.69, X: 96.56, Y: 18.35, V_X: -5.00, V_Y: -4.52, P: 9.98, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.69, X: 96.53, Y: 18.33, V_X: -5.00, V_Y: -4.50, P: 9.97, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.69, X: 96.53, Y: 18.32, V_X: -5.00, V_Y: -4.51, P: 9.97, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.70, X: 96.51, Y: 18.30, V_X: -5.00, V_Y: -4.49, P: 9.97, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.70, X: 96.50, Y: 18.29, V_X: -5.00, V_Y: -4.50, P: 9.97, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
