Cas: 0.00, X: 100.00, Y: 60.00, V_X: 0.00, V_Y: -5.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.12, X: 100.00, Y: 49.99, V_X: 0.00, V_Y: -12.85, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.79, X: 100.00, Y: 35.49, V_X: 0.00, V_Y: -4.49, P: 13.33, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.79, X: 100.00, Y: 35.48, V_X: 0.00, V_Y: -4.51, P: 13.33, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.80, X: 100.00, Y: 35.47, V_X: 0.00, V_Y: -4.50, P: 13.33, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.80, X: 100.00, Y: 35.47, V_X: 0.00, V_Y: -4.50, P: 13.33, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.80, X: 100.00, Y: 35.46, V_X: 0.00, V_Y: -4.50, P: 13.32, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.80, X: 100.00, Y: 35.45, V_X: 0.00, V_Y: -4.51, P: 13.32, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.80, X: 100.00, Y: 35.44, V_X: 0.00, V_Y: -4.49, P: 13.32, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.81, X: 100.00, Y: 35.43, V_X: 0.00, V_Y: -4.51, P: 13.32, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.81, X: 100.00, Y: 35.43, V_X: 0.00, V_Y: -4.50, P: 13.32, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.81, X: 100.00, Y: 35.42, V_X: 0.00, V_Y: -4.50, P: 13.32, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.81, X: 100.00, Y: 35.41, V_X: 0.00, V_Y: -4.49, P: 13.32, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.81, X: 100.00, Y: 35.40, V_X: 0.00, V_Y: -4.51, P: 13.32, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.82, X: 100.00, Y: 35.39, V_X: 0.00, V_Y: -4.49, P: 13.32, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.82, X: 100.00, Y: 35.38, V_X: 0.00, V_Y: -4.51, P: 13.32, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.82, X: 100.00, Y: 35.37, V_X: 0.00, V_Y: -4.49, P: 13.31, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.82, X: 100.00, Y: 35.36, V_X: 0.00, V_Y: -4.51, P: 13.31, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.82, X: 100.00, Y: 35.36, V_X: 0.00, V_Y: -4.50, P: 13.31, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.82, X: 100.00, Y: 35.35, V_X: 0.00, V_Y: -4.50, P: 13.31, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.83, X: 100.00, Y: 35.34, V_X: 0.00, V_Y: -4.49, P: 13.31, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.83, X: 100.00, Y: 35.33, V_X: 0.00, V_Y: -4.51, P: 13.31, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.83, X: 100.00, Y: 35.32, V_X: 0.00, V_Y: -4.49, P: 13.31, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.83, X: 100.00, Y: 35.31, V_X: 0.00, V_Y: -4.51, P: 13.31, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.83, X: 100.00, Y: 35.31, V_X: 0.00, V_Y: -4.50, P: 13.30, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.84, X: 100.00, Y: 35.30, V_X: 0.00, V_Y: -4.50, P: 13.30, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.84, X: 100.00, Y: 35.30, V_X: 0.00, V_Y: -4.49, P: 13.30, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.84, X: 100.00, Y: 35.29, V_X: 0.00, V_Y: -4.51, P: 13.30, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.84, X: 100.00, Y: 35.28, V_X: 0.00, V_Y: -4.50, P: 13.30, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.84, X: 100.00, Y: 35.28, V_X: 0.00, V_Y: -4.50, P: 13.30, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.84, X: 100.00, Y: 35.27, V_X: 0.00, V_Y: -4.49, P: 13.30, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.84, X: 100.00, Y: 35.26, V_X: 0.00, V_Y: -4.51, P: 13.30, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.85, X: 100.00, Y: 35.25, V_X: 0.00, V_Y: -4.49, P: 13.30, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
