Cas: 0.00, X: 100.00, Y: 100.00, V_X: 0.00, V_Y: -10.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.43, X: 100.00, Y: 78.56, V_X: 0.00, V_Y: -20.01, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.43, X: 100.00, Y: 78.52, V_X: 0.00, V_Y: -20.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.43, X: 100.00, Y: 78.50, V_X: 0.00, V_Y: -20.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.43, X: 100.00, Y: 78.47, V_X: 0.00, V_Y: -19.99, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 78.43, V_X: 0.00, V_Y: -20.01, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 78.40, V_X: 0.00, V_Y: -20.00, P: 14.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 78.38, V_X: 0.00, V_Y: -20.00, P: 14.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 78.34, V_X: 0.00, V_Y: -20.00, P: 14.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 78.31, V_X: 0.00, V_Y: -20.01, P: 14.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 78.26, V_X: 0.00, V_Y: -20.00, P: 14.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 78.24, V_X: 0.00, V_Y: -20.00, P: 14.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.45, X: 100.00, Y: 78.21, V_X: 0.00, V_Y: -19.99, P: 14.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.45, X: 100.00, Y: 78.18, V_X: 0.00, V_Y: -20.01, P: 14.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.45, X: 100.00, Y: 78.15, V_X: 0.00, V_Y: -20.00, P: 14.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.45, X: 100.00, Y: 78.13, V_X: 0.00, V_Y: -20.00, P: 14.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.45, X: 100.00, Y: 78.09, V_X: 0.00, V_Y: -20.00, P: 14.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
