Cas: 0.00, X: 150.00, Y: 120.00, V_X: 0.00, V_Y: -3.00, P: 25.00, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.43, X: 150.00, Y: 92.06, V_X: 0.00, V_Y: -20.00, P: 25.00, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.43, X: 150.00, Y: 92.03, V_X: 0.00, V_Y: -20.00, P: 25.00, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.43, X: 150.00, Y: 91.99, V_X: 0.00, V_Y: -20.01, P: 25.00, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.44, X: 150.00, Y: 91.92, V_X: 0.00, V_Y: -19.99, P: 25.00, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.44, X: 150.00, Y: 91.89, V_X: 0.00, V_Y: -20.01, P: 25.00, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.44, X: 150.00, Y: 91.85, V_X: 0.00, V_Y: -20.00, P: 24.99, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.44, X: 150.00, Y: 91.81, V_X: 0.00, V_Y: -20.01, P: 24.99, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.44, X: 150.00, Y: 91.76, V_X: 0.00, V_Y: -20.00, P: 24.99, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.45, X: 150.00, Y: 91.73, V_X: 0.00, V_Y: -20.01, P: 24.99, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.45, X: 150.00, Y: 91.67, V_X: 0.00, V_Y: -19.99, P: 24.99, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.45, X: 150.00, Y: 91.64, V_X: 0.00, V_Y: -20.01, P: 24.99, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.45, X: 150.00, Y: 91.59, V_X: 0.00, V_Y: -20.00, P: 24.99, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.45, X: 150.00, Y: 91.56, V_X: 0.00, V_Y: -20.01, P: 24.99, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.46, X: 150.00, Y: 91.51, V_X: 0.00, V_Y: -20.00, P: 24.98, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.46, X: 150.00, Y: 91.48, V_X: 0.00, V_Y: -20.01, P: 24.98, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.46, X: 150.00, Y: 91.44, V_X: 0.00, V_Y: -19.99, P: 24.98, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.46, X: 150.00, Y: 91.40, V_X: 0.00, V_Y: -20.01, P: 24.98, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.46, X: 150.00, Y: 91.37, V_X: 0.00, V_Y: -20.00, P: 24.98, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.46, X: 150.00, Y: 91.35, V_X: 0.00, V_Y: -20.00, P: 24.98, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.47, X: 150.00, Y: 91.32, V_X: 0.00, V_Y: -19.99, P: 24.98, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.47, X: 150.00, Y: 91.26, V_X: 0.00, V_Y: -20.01, P: 24.98, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.47, X: 150.00, Y: 91.20, V_X: 0.00, V_Y: -20.00, P: 24.97, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.47, X: 150.00, Y: 91.18, V_X: 0.00, V_Y: -20.00, P: 24.97, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.47, X: 150.00, Y: 91.15, V_X: 0.00, V_Y: -19.99, P: 24.97, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.48, X: 150.00, Y: 91.12, V_X: 0.00, V_Y: -20.01, P: 24.97, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.48, X: 150.00, Y: 91.09, V_X: 0.00, V_Y: -20.00, P: 24.97, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.48, X: 150.00, Y: 91.07, V_X: 0.00, V_Y: -20.00, P: 24.97, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.48, X: 150.00, Y: 91.04, V_X: 0.00, V_Y: -20.00, P: 24.97, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.48, X: 150.00, Y: 91.01, V_X: 0.00, V_Y: -20.01, P: 24.97, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.48, X: 150.00, Y: 90.97, V_X: 0.00, V_Y: -20.00, P: 24.97, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.48, X: 150.00, Y: 90.95, V_X: 0.00, V_Y: -20.00, P: 24.97, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.49, X: 150.00, Y: 90.90, V_X: 0.00, V_Y: -19.99, P: 24.97, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.49, X: 150.00, Y: 90.87, V_X: 0.00, V_Y: -20.01, P: 24.97, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.49, X: 150.00, Y: 90.84, V_X: 0.00, V_Y: -20.00, P: 24.96, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.49, X: 150.00, Y: 90.82, V_X: 0.00, V_Y: -20.00, P: 24.96, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.49, X: 150.00, Y: 90.79, V_X: 0.00, V_Y: -19.99, P: 24.96, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.49, X: 150.00, Y: 90.75, V_X: 0.00, V_Y: -20.01, P: 24.96, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.50, X: 150.00, Y: 90.71, V_X: 0.00, V_Y: -20.00, P: 24.96, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.50, X: 150.00, Y: 90.70, V_X: 0.00, V_Y: -20.00, P: 24.96, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.50, X: 150.00, Y: 90.67, V_X: 0.00, V_Y: -20.00, P: 24.96, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.50, X: 150.00, Y: 90.62, V_X: 0.00, V_Y: -20.01, P: 24.96, L: 20.00, R: 80.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.50, X: 150.00, Y: 90.55, V_X: 0.00, V_Y: -19.99, P: 24.95, L: 20.00, R: 80.00, nahoru: 0, doleva: 0, doprava: 0
