Cas: 0.00, X: 100.00, Y: 40.00, V_X: 0.00, V_Y: 0.00, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.64, X: 100.00, Y: 38.55, V_X: 0.00, V_Y: -4.51, P: 10.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 38.54, V_X: 0.00, V_Y: -4.50, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 38.54, V_X: 0.00, V_Y: -4.50, P: 10.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 38.53, V_X: 0.00, V_Y: -4.49, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 38.52, V_X: 0.00, V_Y: -4.51, P: 10.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 38.51, V_X: 0.00, V_Y: -4.50, P: 9.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 38.51, V_X: 0.00, V_Y: -4.50, P: 9.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.65, X: 100.00, Y: 38.50, V_X: 0.00, V_Y: -4.49, P: 9.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.66, X: 100.00, Y: 38.49, V_X: 0.00, V_Y: -4.51, P: 9.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.66, X: 100.00, Y: 38.48, V_X: 0.00, V_Y: -4.49, P: 9.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.66, X: 100.00, Y: 38.47, V_X: 0.00, V_Y: -4.51, P: 9.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.66, X: 100.00, Y: 38.46, V_X: 0.00, V_Y: -4.50, P: 9.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.67, X: 100.00, Y: 38.45, V_X: 0.00, V_Y: -4.50, P: 9.99, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.67, X: 100.00, Y: 38.44, V_X: 0.00, V_Y: -4.50, P: 9.99, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
