Cas: 0.00, X: 70.00, Y: 100.00, V_X: -1.00, V_Y: 0.00, P: 20.00, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.02, X: 69.98, Y: 100.00, V_X: -1.00, V_Y: -0.14, P: 20.00, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.70, X: 70.70, Y: 98.26, V_X: 3.11, V_Y: -4.93, P: 19.66, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.00, X: 71.90, Y: 97.01, V_X: 4.90, V_Y: -3.44, P: 19.21, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.05, X: 72.14, Y: 96.84, V_X: 4.60, V_Y: -3.19, P: 19.13, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.12, X: 72.46, Y: 96.64, V_X: 5.00, V_Y: -2.85, P: 19.03, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.17, X: 72.70, Y: 96.50, V_X: 4.70, V_Y: -2.60, P: 18.96, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.22, X: 72.94, Y: 96.38, V_X: 5.00, V_Y: -2.35, P: 18.88, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.29, X: 73.26, Y: 96.23, V_X: 4.60, V_Y: -2.02, P: 18.78, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.34, X: 73.50, Y: 96.14, V_X: 4.90, V_Y: -1.77, P: 18.71, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.39, X: 73.74, Y: 96.06, V_X: 4.60, V_Y: -1.52, P: 18.63, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.44, X: 73.98, Y: 95.99, V_X: 4.90, V_Y: -1.26, P: 18.56, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.49, X: 74.22, Y: 95.93, V_X: 4.60, V_Y: -1.01, P: 18.48, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.56, X: 74.54, Y: 95.87, V_X: 5.00, V_Y: -0.68, P: 18.38, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.62, X: 74.85, Y: 95.84, V_X: 4.61, V_Y: -0.35, P: 18.28, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.67, X: 75.09, Y: 95.83, V_X: 4.91, V_Y: -0.10, P: 18.21, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.72, X: 75.33, Y: 95.83, V_X: 4.61, V_Y: 0.15, P: 18.13, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.77, X: 75.57, Y: 95.84, V_X: 4.91, V_Y: 0.40, P: 18.06, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.82, X: 75.81, Y: 95.87, V_X: 4.61, V_Y: 0.65, P: 17.98, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.87, X: 76.05, Y: 95.91, V_X: 4.91, V_Y: 0.90, P: 17.91, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.92, X: 76.29, Y: 95.96, V_X: 4.61, V_Y: 1.15, P: 17.83, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.97, X: 76.52, Y: 96.02, V_X: 4.91, V_Y: 1.40, P: 17.76, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.02, X: 76.76, Y: 96.10, V_X: 4.61, V_Y: 1.65, P: 17.68, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 2.07, X: 77.00, Y: 96.19, V_X: 4.91, V_Y: 1.90, P: 17.61, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.12, X: 77.23, Y: 96.29, V_X: 4.61, V_Y: 2.15, P: 17.53, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 2.17, X: 77.48, Y: 96.41, V_X: 4.92, V_Y: 2.40, P: 17.46, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.22, X: 77.71, Y: 96.53, V_X: 4.62, V_Y: 2.65, P: 17.38, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 2.27, X: 77.95, Y: 96.67, V_X: 4.93, V_Y: 2.90, P: 17.31, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.32, X: 78.19, Y: 96.82, V_X: 4.63, V_Y: 3.15, P: 17.23, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 2.37, X: 78.43, Y: 96.98, V_X: 4.93, V_Y: 3.40, P: 17.16, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.42, X: 78.67, Y: 97.16, V_X: 4.63, V_Y: 3.65, P: 17.08, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 2.47, X: 78.91, Y: 97.35, V_X: 4.93, V_Y: 3.90, P: 17.01, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.52, X: 79.15, Y: 97.55, V_X: 4.63, V_Y: 4.15, P: 16.93, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 2.57, X: 79.38, Y: 97.76, V_X: 4.93, V_Y: 4.40, P: 16.86, L: 120.00, R: 160.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.62, X: 79.63, Y: 97.99, V_X: 4.63, V_Y: 4.65, P: 16.78, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
