Cas: 0.00, X: 100.00, Y: 40.00, V_X: 0.00, V_Y: 0.00, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.37, X: 100.00, Y: 33.44, V_X: 0.00, V_Y: -9.58, P: 10.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.38, X: 100.00, Y: 33.29, V_X: 0.00, V_Y: -9.51, P: 9.98, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.39, X: 100.00, Y: 33.25, V_X: 0.00, V_Y: -9.54, P: 9.98, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.41, X: 100.00, Y: 33.05, V_X: 0.00, V_Y: -9.44, P: 9.96, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.41, X: 100.00, Y: 33.01, V_X: 0.00, V_Y: -9.47, P: 9.96, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.43, X: 100.00, Y: 32.83, V_X: 0.00, V_Y: -9.37, P: 9.94, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 32.78, V_X: 0.00, V_Y: -9.41, P: 9.94, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.46, X: 100.00, Y: 32.61, V_X: 0.00, V_Y: -9.31, P: 9.93, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.46, X: 100.00, Y: 32.56, V_X: 0.00, V_Y: -9.35, P: 9.93, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.48, X: 100.00, Y: 32.39, V_X: 0.00, V_Y: -9.25, P: 9.91, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.49, X: 100.00, Y: 32.34, V_X: 0.00, V_Y: -9.28, P: 9.91, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.51, X: 100.00, Y: 32.16, V_X: 0.00, V_Y: -9.18, P: 9.89, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.51, X: 100.00, Y: 32.11, V_X: 0.00, V_Y: -9.22, P: 9.89, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.53, X: 100.00, Y: 31.93, V_X: 0.00, V_Y: -9.12, P: 9.87, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.54, X: 100.00, Y: 31.89, V_X: 0.00, V_Y: -9.15, P: 9.87, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
