Cas: 0.00, X: 100.00, Y: 60.00, V_X: 0.00, V_Y: -5.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.26, X: 100.00, Y: 48.18, V_X: 0.00, V_Y: -13.80, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.29, X: 100.00, Y: 47.71, V_X: 0.00, V_Y: -13.63, P: 14.97, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.30, X: 100.00, Y: 47.65, V_X: 0.00, V_Y: -13.66, P: 14.97, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.34, X: 100.00, Y: 47.04, V_X: 0.00, V_Y: -13.44, P: 14.92, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.35, X: 100.00, Y: 46.97, V_X: 0.00, V_Y: -13.47, P: 14.92, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.39, X: 100.00, Y: 46.38, V_X: 0.00, V_Y: -13.25, P: 14.88, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.40, X: 100.00, Y: 46.32, V_X: 0.00, V_Y: -13.28, P: 14.88, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 45.75, V_X: 0.00, V_Y: -13.06, P: 14.83, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 45.68, V_X: 0.00, V_Y: -13.10, P: 14.83, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.48, X: 100.00, Y: 45.20, V_X: 0.00, V_Y: -12.91, P: 14.80, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.48, X: 100.00, Y: 45.14, V_X: 0.00, V_Y: -12.95, P: 14.80, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.52, X: 100.00, Y: 44.65, V_X: 0.00, V_Y: -12.76, P: 14.76, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.53, X: 100.00, Y: 44.59, V_X: 0.00, V_Y: -12.79, P: 14.76, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.56, X: 100.00, Y: 44.13, V_X: 0.00, V_Y: -12.61, P: 14.72, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.57, X: 100.00, Y: 44.07, V_X: 0.00, V_Y: -12.64, P: 14.72, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.60, X: 100.00, Y: 43.65, V_X: 0.00, V_Y: -12.47, P: 14.69, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.61, X: 100.00, Y: 43.59, V_X: 0.00, V_Y: -12.50, P: 14.69, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.64, X: 100.00, Y: 43.16, V_X: 0.00, V_Y: -12.33, P: 14.65, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.65, X: 100.00, Y: 43.10, V_X: 0.00, V_Y: -12.36, P: 14.65, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.68, X: 100.00, Y: 42.71, V_X: 0.00, V_Y: -12.20, P: 14.62, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.68, X: 100.00, Y: 42.66, V_X: 0.00, V_Y: -12.23, P: 14.62, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.72, X: 100.00, Y: 42.26, V_X: 0.00, V_Y: -12.07, P: 14.59, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.72, X: 100.00, Y: 42.21, V_X: 0.00, V_Y: -12.10, P: 14.59, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.75, X: 100.00, Y: 41.84, V_X: 0.00, V_Y: -11.95, P: 14.56, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.76, X: 100.00, Y: 41.78, V_X: 0.00, V_Y: -11.98, P: 14.56, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.78, X: 100.00, Y: 41.43, V_X: 0.00, V_Y: -11.83, P: 14.53, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.79, X: 100.00, Y: 41.38, V_X: 0.00, V_Y: -11.87, P: 14.53, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.82, X: 100.00, Y: 41.03, V_X: 0.00, V_Y: -11.72, P: 14.50, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.82, X: 100.00, Y: 40.98, V_X: 0.00, V_Y: -11.75, P: 14.50, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.85, X: 100.00, Y: 40.64, V_X: 0.00, V_Y: -11.61, P: 14.47, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.86, X: 100.00, Y: 40.59, V_X: 0.00, V_Y: -11.64, P: 14.47, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.88, X: 100.00, Y: 40.28, V_X: 0.00, V_Y: -11.50, P: 14.44, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
