Cas: 0.00, X: 100.00, Y: 20.00, V_X: 0.00, V_Y: 0.00, P: 10.00, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.73, X: 100.00, Y: 18.13, V_X: 0.00, V_Y: -5.12, P: 10.00, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.80, X: 100.00, Y: 17.79, V_X: 0.00, V_Y: -4.79, P: 9.93, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.83, X: 100.00, Y: 17.62, V_X: 0.00, V_Y: -5.03, P: 9.93, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.88, X: 100.00, Y: 17.40, V_X: 0.00, V_Y: -4.81, P: 9.89, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.91, X: 100.00, Y: 17.24, V_X: 0.00, V_Y: -5.03, P: 9.89, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.96, X: 100.00, Y: 16.99, V_X: 0.00, V_Y: -4.78, P: 9.84, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.01, X: 100.00, Y: 16.78, V_X: 0.00, V_Y: -5.09, P: 9.84, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.08, X: 100.00, Y: 16.43, V_X: 0.00, V_Y: -4.73, P: 9.77, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.13, X: 100.00, Y: 16.18, V_X: 0.00, V_Y: -5.08, P: 9.77, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.19, X: 100.00, Y: 15.85, V_X: 0.00, V_Y: -4.75, P: 9.70, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.25, X: 100.00, Y: 15.55, V_X: 0.00, V_Y: -5.17, P: 9.70, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.34, X: 100.00, Y: 15.14, V_X: 0.00, V_Y: -4.75, P: 9.62, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.39, X: 100.00, Y: 14.88, V_X: 0.00, V_Y: -5.11, P: 9.62, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.45, X: 100.00, Y: 14.56, V_X: 0.00, V_Y: -4.79, P: 9.55, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.50, X: 100.00, Y: 14.32, V_X: 0.00, V_Y: -5.13, P: 9.55, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.57, X: 100.00, Y: 13.99, V_X: 0.00, V_Y: -4.79, P: 9.48, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.60, X: 100.00, Y: 13.83, V_X: 0.00, V_Y: -5.02, P: 9.48, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.66, X: 100.00, Y: 13.57, V_X: 0.00, V_Y: -4.75, P: 9.43, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.71, X: 100.00, Y: 13.32, V_X: 0.00, V_Y: -5.11, P: 9.43, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.79, X: 100.00, Y: 12.91, V_X: 0.00, V_Y: -4.69, P: 9.35, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.84, X: 100.00, Y: 12.65, V_X: 0.00, V_Y: -5.07, P: 9.35, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.91, X: 100.00, Y: 12.33, V_X: 0.00, V_Y: -4.74, P: 9.28, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.97, X: 100.00, Y: 12.04, V_X: 0.00, V_Y: -5.15, P: 9.28, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.05, X: 100.00, Y: 11.63, V_X: 0.00, V_Y: -4.73, P: 9.20, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.09, X: 100.00, Y: 11.41, V_X: 0.00, V_Y: -5.03, P: 9.20, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.15, X: 100.00, Y: 11.16, V_X: 0.00, V_Y: -4.77, P: 9.15, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.20, X: 100.00, Y: 10.88, V_X: 0.00, V_Y: -5.17, P: 9.15, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.29, X: 100.00, Y: 10.47, V_X: 0.00, V_Y: -4.75, P: 9.06, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.34, X: 100.00, Y: 10.21, V_X: 0.00, V_Y: -5.12, P: 9.06, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.38, X: 100.00, Y: 10.00, V_X: 0.00, V_Y: -4.91, P: 9.02, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Zdar!
