Cas: 0.00, X: 60.00, Y: 120.00, V_X: 5.00, V_Y: 0.00, P: 35.00, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.02, X: 60.09, Y: 120.00, V_X: 5.00, V_Y: -0.13, P: 35.00, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.04, X: 60.18, Y: 120.00, V_X: 5.10, V_Y: -0.25, P: 34.99, L: 150.00, R: 190.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 0.05, X: 60.27, Y: 119.99, V_X: 4.99, V_Y: -0.38, P: 34.98, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.07, X: 60.36, Y: 119.98, V_X: 5.09, V_Y: -0.50, P: 34.97, L: 150.00, R: 190.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 0.09, X: 60.45, Y: 119.97, V_X: 4.99, V_Y: -0.62, P: 34.96, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.11, X: 60.53, Y: 119.96, V_X: 5.09, V_Y: -0.74, P: 34.96, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.12, X: 60.62, Y: 119.95, V_X: 5.09, V_Y: -0.86, P: 34.96, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.14, X: 60.71, Y: 119.93, V_X: 5.19, V_Y: -0.98, P: 34.95, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.16, X: 60.79, Y: 119.91, V_X: 5.19, V_Y: -1.10, P: 34.95, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.17, X: 60.88, Y: 119.89, V_X: 5.29, V_Y: -1.22, P: 34.94, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.19, X: 60.97, Y: 119.87, V_X: 5.29, V_Y: -1.33, P: 34.94, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.21, X: 61.06, Y: 119.85, V_X: 5.39, V_Y: -1.45, P: 34.93, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.22, X: 61.15, Y: 119.82, V_X: 5.39, V_Y: -1.57, P: 34.93, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.24, X: 61.24, Y: 119.80, V_X: 5.49, V_Y: -1.68, P: 34.92, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.26, X: 61.33, Y: 119.77, V_X: 5.49, V_Y: -1.80, P: 34.92, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.27, X: 61.43, Y: 119.74, V_X: 5.59, V_Y: -1.92, P: 34.91, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.29, X: 61.52, Y: 119.70, V_X: 5.59, V_Y: -2.03, P: 34.91, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.31, X: 61.61, Y: 119.67, V_X: 5.69, V_Y: -2.15, P: 34.91, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.32, X: 61.70, Y: 119.63, V_X: 5.69, V_Y: -2.26, P: 34.91, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.34, X: 61.80, Y: 119.60, V_X: 5.79, V_Y: -2.38, P: 34.90, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.36, X: 61.89, Y: 119.56, V_X: 5.79, V_Y: -2.49, P: 34.90, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.37, X: 61.99, Y: 119.52, V_X: 5.89, V_Y: -2.61, P: 34.89, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.39, X: 62.08, Y: 119.47, V_X: 5.89, V_Y: -2.72, P: 34.89, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.40, X: 62.18, Y: 119.43, V_X: 5.99, V_Y: -2.83, P: 34.88, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.42, X: 62.28, Y: 119.38, V_X: 5.99, V_Y: -2.95, P: 34.88, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.44, X: 62.37, Y: 119.33, V_X: 6.08, V_Y: -3.06, P: 34.87, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.45, X: 62.47, Y: 119.28, V_X: 6.08, V_Y: -3.17, P: 34.87, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.47, X: 62.57, Y: 119.23, V_X: 6.18, V_Y: -3.28, P: 34.87, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.48, X: 62.67, Y: 119.18, V_X: 6.18, V_Y: -3.39, P: 34.87, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.50, X: 62.77, Y: 119.12, V_X: 6.27, V_Y: -3.50, P: 34.86, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.52, X: 62.87, Y: 119.07, V_X: 6.27, V_Y: -3.62, P: 34.86, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.53, X: 62.97, Y: 119.01, V_X: 6.37, V_Y: -3.73, P: 34.85, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.55, X: 63.07, Y: 118.95, V_X: 6.37, V_Y: -3.84, P: 34.85, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.56, X: 63.17, Y: 118.89, V_X: 6.46, V_Y: -3.95, P: 34.84, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.58, X: 63.27, Y: 118.82, V_X: 6.46, V_Y: -4.06, P: 34.84, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.60, X: 63.37, Y: 118.76, V_X: 6.56, V_Y: -4.17, P: 34.83, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.61, X: 63.48, Y: 118.69, V_X: 6.56, V_Y: -4.28, P: 34.83, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.63, X: 63.58, Y: 118.62, V_X: 6.65, V_Y: -4.39, P: 34.83, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.64, X: 63.68, Y: 118.56, V_X: 6.65, V_Y: -4.50, P: 34.83, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.66, X: 63.79, Y: 118.49, V_X: 6.75, V_Y: -4.61, P: 34.82, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.67, X: 63.89, Y: 118.41, V_X: 6.75, V_Y: -4.71, P: 34.82, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.69, X: 64.00, Y: 118.34, V_X: 6.84, V_Y: -4.82, P: 34.81, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.70, X: 64.10, Y: 118.26, V_X: 6.84, V_Y: -4.93, P: 34.81, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.72, X: 64.21, Y: 118.19, V_X: 6.93, V_Y: -5.04, P: 34.80, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.73, X: 64.31, Y: 118.11, V_X: 6.93, V_Y: -5.14, P: 34.80, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.75, X: 64.42, Y: 118.03, V_X: 7.02, V_Y: -5.25, P: 34.79, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.77, X: 64.53, Y: 117.95, V_X: 7.02, V_Y: -5.36, P: 34.79, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.78, X: 64.64, Y: 117.86, V_X: 7.12, V_Y: -5.47, P: 34.79, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.80, X: 64.75, Y: 117.78, V_X: 7.12, V_Y: -5.58, P: 34.79, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
