Cas: 0.00, X: 100.00, Y: 20.00, V_X: -5.00, V_Y: 0.00, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.63, X: 96.87, Y: 18.63, V_X: -5.00, V_Y: -4.38, P: 10.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.73, X: 96.33, Y: 18.18, V_X: -5.00, V_Y: -3.84, P: 9.89, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.79, X: 96.06, Y: 17.97, V_X: -5.00, V_Y: -4.21, P: 9.89, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.87, X: 95.67, Y: 17.65, V_X: -5.00, V_Y: -3.82, P: 9.81, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.94, X: 95.28, Y: 17.34, V_X: -5.00, V_Y: -4.36, P: 9.81, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.05, X: 94.75, Y: 16.90, V_X: -5.00, V_Y: -3.83, P: 9.71, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.10, X: 94.49, Y: 16.70, V_X: -5.00, V_Y: -4.18, P: 9.71, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.18, X: 94.10, Y: 16.38, V_X: -5.00, V_Y: -3.79, P: 9.63, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.26, X: 93.72, Y: 16.07, V_X: -5.00, V_Y: -4.33, P: 9.63, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.36, X: 93.18, Y: 15.63, V_X: -5.00, V_Y: -3.79, P: 9.52, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.44, X: 92.79, Y: 15.32, V_X: -5.00, V_Y: -4.32, P: 9.52, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.55, X: 92.27, Y: 14.90, V_X: -5.00, V_Y: -3.80, P: 9.41, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.62, X: 91.88, Y: 14.58, V_X: -5.00, V_Y: -4.34, P: 9.41, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.73, X: 91.37, Y: 14.16, V_X: -5.00, V_Y: -3.83, P: 9.31, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.78, X: 91.12, Y: 13.96, V_X: -5.00, V_Y: -4.18, P: 9.31, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.85, X: 90.73, Y: 13.65, V_X: -5.00, V_Y: -3.80, P: 9.24, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.93, X: 90.35, Y: 13.34, V_X: -5.00, V_Y: -4.34, P: 9.24, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.03, X: 89.84, Y: 12.92, V_X: -5.00, V_Y: -3.83, P: 9.13, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.08, X: 89.58, Y: 12.72, V_X: -5.00, V_Y: -4.19, P: 9.13, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.16, X: 89.20, Y: 12.41, V_X: -5.00, V_Y: -3.81, P: 9.06, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.24, X: 88.82, Y: 12.10, V_X: -5.00, V_Y: -4.34, P: 9.06, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.34, X: 88.31, Y: 11.69, V_X: -5.00, V_Y: -3.83, P: 8.96, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.39, X: 88.05, Y: 11.48, V_X: -5.00, V_Y: -4.19, P: 8.96, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.47, X: 87.67, Y: 11.18, V_X: -5.00, V_Y: -3.81, P: 8.88, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.54, X: 87.29, Y: 10.86, V_X: -5.00, V_Y: -4.35, P: 8.88, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.65, X: 86.77, Y: 10.44, V_X: -5.00, V_Y: -3.84, P: 8.78, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.70, X: 86.51, Y: 10.23, V_X: -5.00, V_Y: -4.20, P: 8.78, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.75, X: 86.23, Y: 10.00, V_X: -5.00, V_Y: -3.91, P: 8.72, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Krach!
