Cas: 0.00, X: 100.00, Y: 20.00, V_X: 0.00, V_Y: 0.00, P: 10.00, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.01, X: 100.00, Y: 20.00, V_X: 0.00, V_Y: -0.07, P: 10.00, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.76, X: 101.71, Y: 17.95, V_X: 4.53, V_Y: -5.35, P: 9.62, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.81, X: 101.93, Y: 17.70, V_X: 4.82, V_Y: -5.11, P: 9.55, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.84, X: 102.05, Y: 17.58, V_X: 4.96, V_Y: -5.28, P: 9.54, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.89, X: 102.31, Y: 17.32, V_X: 5.26, V_Y: -5.04, P: 9.46, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.93, X: 102.53, Y: 17.11, V_X: 5.51, V_Y: -5.33, P: 9.44, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.99, X: 102.90, Y: 16.77, V_X: 5.90, V_Y: -5.00, P: 9.35, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.02, X: 103.04, Y: 16.65, V_X: 6.04, V_Y: -5.17, P: 9.33, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.05, X: 103.27, Y: 16.46, V_X: 6.26, V_Y: -4.98, P: 9.28, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.08, X: 103.42, Y: 16.34, V_X: 6.41, V_Y: -5.16, P: 9.27, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.13, X: 103.75, Y: 16.09, V_X: 6.70, V_Y: -4.91, P: 9.19, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.16, X: 103.99, Y: 15.91, V_X: 6.92, V_Y: -5.17, P: 9.17, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.22, X: 104.42, Y: 15.60, V_X: 7.29, V_Y: -4.86, P: 9.08, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.26, X: 104.71, Y: 15.41, V_X: 7.52, V_Y: -5.14, P: 9.06, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.33, X: 105.20, Y: 15.10, V_X: 7.90, V_Y: -4.83, P: 8.97, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.35, X: 105.39, Y: 14.98, V_X: 8.04, V_Y: -4.99, P: 8.96, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.39, X: 105.69, Y: 14.80, V_X: 8.26, V_Y: -4.81, P: 8.90, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.41, X: 105.88, Y: 14.68, V_X: 8.40, V_Y: -4.98, P: 8.89, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.46, X: 106.30, Y: 14.45, V_X: 8.69, V_Y: -4.74, P: 8.82, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.50, X: 106.62, Y: 14.27, V_X: 8.91, V_Y: -4.99, P: 8.80, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.55, X: 107.16, Y: 13.98, V_X: 9.27, V_Y: -4.69, P: 8.71, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.59, X: 107.51, Y: 13.80, V_X: 9.49, V_Y: -4.95, P: 8.69, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.65, X: 108.11, Y: 13.50, V_X: 9.87, V_Y: -4.64, P: 8.60, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.69, X: 108.48, Y: 13.33, V_X: 10.09, V_Y: -4.90, P: 8.58, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.75, X: 109.12, Y: 13.03, V_X: 10.46, V_Y: -4.59, P: 8.49, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.79, X: 109.52, Y: 12.85, V_X: 10.69, V_Y: -4.86, P: 8.47, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.86, X: 110.24, Y: 12.54, V_X: 11.08, V_Y: -4.53, P: 8.37, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.90, X: 110.67, Y: 12.36, V_X: 11.32, V_Y: -4.80, P: 8.35, L: 100.00, R: 150.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 1.96, X: 111.41, Y: 12.06, V_X: 10.92, V_Y: -4.47, P: 8.25, L: 100.00, R: 150.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.00, X: 111.80, Y: 11.89, V_X: 10.70, V_Y: -4.73, P: 8.23, L: 100.00, R: 150.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.05, X: 112.32, Y: 11.66, V_X: 10.41, V_Y: -4.48, P: 8.16, L: 100.00, R: 150.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.07, X: 112.58, Y: 11.55, V_X: 10.26, V_Y: -4.65, P: 8.15, L: 100.00, R: 150.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.12, X: 113.08, Y: 11.32, V_X: 9.96, V_Y: -4.40, P: 8.07, L: 100.00, R: 150.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.16, X: 113.45, Y: 11.15, V_X: 9.74, V_Y: -4.67, P: 8.05, L: 100.00, R: 150.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.22, X: 114.03, Y: 10.88, V_X: 9.37, V_Y: -4.36, P: 7.96, L: 100.00, R: 150.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.26, X: 114.38, Y: 10.71, V_X: 9.15, V_Y: -4.62, P: 7.94, L: 100.00, R: 150.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.32, X: 114.93, Y: 10.43, V_X: 8.77, V_Y: -4.31, P: 7.85, L: 100.00, R: 150.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 2.36, X: 115.25, Y: 10.27, V_X: 8.55, V_Y: -4.57, P: 7.83, L: 100.00, R: 150.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 2.42, X: 115.76, Y: 10.00, V_X: 8.19, V_Y: -4.27, P: 7.74, L: 100.00, R: 150.00, nahoru: 0, doleva: 1, doprava: 0
Krach!
