Cas: 0.00, X: 100.00, Y: 60.00, V_X: 0.00, V_Y: -5.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.47, X: 100.00, Y: 56.88, V_X: 0.00, V_Y: -8.29, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.52, X: 100.00, Y: 56.44, V_X: 0.00, V_Y: -8.01, P: 14.95, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.55, X: 100.00, Y: 56.23, V_X: 0.00, V_Y: -8.19, P: 14.95, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.60, X: 100.00, Y: 55.84, V_X: 0.00, V_Y: -7.95, P: 14.90, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.63, X: 100.00, Y: 55.54, V_X: 0.00, V_Y: -8.21, P: 14.90, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.70, X: 100.00, Y: 55.04, V_X: 0.00, V_Y: -7.90, P: 14.83, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.73, X: 100.00, Y: 54.74, V_X: 0.00, V_Y: -8.15, P: 14.83, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.80, X: 100.00, Y: 54.25, V_X: 0.00, V_Y: -7.85, P: 14.77, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.83, X: 100.00, Y: 53.95, V_X: 0.00, V_Y: -8.11, P: 14.77, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.90, X: 100.00, Y: 53.45, V_X: 0.00, V_Y: -7.80, P: 14.71, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.93, X: 100.00, Y: 53.22, V_X: 0.00, V_Y: -8.00, P: 14.71, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.96, X: 100.00, Y: 52.92, V_X: 0.00, V_Y: -7.81, P: 14.67, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.99, X: 100.00, Y: 52.71, V_X: 0.00, V_Y: -8.00, P: 14.67, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.04, X: 100.00, Y: 52.32, V_X: 0.00, V_Y: -7.75, P: 14.62, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.06, X: 100.00, Y: 52.12, V_X: 0.00, V_Y: -7.93, P: 14.62, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.10, X: 100.00, Y: 51.84, V_X: 0.00, V_Y: -7.74, P: 14.59, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.12, X: 100.00, Y: 51.65, V_X: 0.00, V_Y: -7.91, P: 14.59, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.17, X: 100.00, Y: 51.28, V_X: 0.00, V_Y: -7.67, P: 14.54, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.21, X: 100.00, Y: 51.00, V_X: 0.00, V_Y: -7.92, P: 14.54, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.27, X: 100.00, Y: 50.53, V_X: 0.00, V_Y: -7.62, P: 14.48, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.31, X: 100.00, Y: 50.24, V_X: 0.00, V_Y: -7.89, P: 14.48, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.37, X: 100.00, Y: 49.77, V_X: 0.00, V_Y: -7.59, P: 14.42, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
