Cas: 0.00, X: 100.00, Y: 100.00, V_X: 0.00, V_Y: -10.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.08, X: 100.00, Y: 99.15, V_X: 0.00, V_Y: -10.58, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.14, X: 100.00, Y: 98.57, V_X: 0.00, V_Y: -10.30, P: 14.94, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.17, X: 100.00, Y: 98.28, V_X: 0.00, V_Y: -10.50, P: 14.94, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.22, X: 100.00, Y: 97.76, V_X: 0.00, V_Y: -10.25, P: 14.89, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.24, X: 100.00, Y: 97.49, V_X: 0.00, V_Y: -10.43, P: 14.89, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.28, X: 100.00, Y: 97.10, V_X: 0.00, V_Y: -10.24, P: 14.86, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.31, X: 100.00, Y: 96.84, V_X: 0.00, V_Y: -10.41, P: 14.86, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.35, X: 100.00, Y: 96.42, V_X: 0.00, V_Y: -10.21, P: 14.82, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.37, X: 100.00, Y: 96.16, V_X: 0.00, V_Y: -10.38, P: 14.82, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.42, X: 100.00, Y: 95.65, V_X: 0.00, V_Y: -10.13, P: 14.77, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.45, X: 100.00, Y: 95.39, V_X: 0.00, V_Y: -10.31, P: 14.77, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.49, X: 100.00, Y: 94.96, V_X: 0.00, V_Y: -10.11, P: 14.72, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.51, X: 100.00, Y: 94.72, V_X: 0.00, V_Y: -10.28, P: 14.72, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.55, X: 100.00, Y: 94.34, V_X: 0.00, V_Y: -10.09, P: 14.69, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.57, X: 100.00, Y: 94.09, V_X: 0.00, V_Y: -10.26, P: 14.69, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.61, X: 100.00, Y: 93.72, V_X: 0.00, V_Y: -10.08, P: 14.65, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.63, X: 100.00, Y: 93.47, V_X: 0.00, V_Y: -10.24, P: 14.65, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.67, X: 100.00, Y: 93.07, V_X: 0.00, V_Y: -10.05, P: 14.61, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.70, X: 100.00, Y: 92.83, V_X: 0.00, V_Y: -10.22, P: 14.61, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.75, X: 100.00, Y: 92.32, V_X: 0.00, V_Y: -9.97, P: 14.56, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.78, X: 100.00, Y: 91.96, V_X: 0.00, V_Y: -10.22, P: 14.56, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.85, X: 100.00, Y: 91.34, V_X: 0.00, V_Y: -9.91, P: 14.50, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.88, X: 100.00, Y: 90.96, V_X: 0.00, V_Y: -10.17, P: 14.50, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.94, X: 100.00, Y: 90.43, V_X: 0.00, V_Y: -9.90, P: 14.45, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.96, X: 100.00, Y: 90.19, V_X: 0.00, V_Y: -10.07, P: 14.45, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.00, X: 100.00, Y: 89.80, V_X: 0.00, V_Y: -9.88, P: 14.41, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.02, X: 100.00, Y: 89.56, V_X: 0.00, V_Y: -10.05, P: 14.41, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.07, X: 100.00, Y: 89.08, V_X: 0.00, V_Y: -9.81, P: 14.36, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.10, X: 100.00, Y: 88.79, V_X: 0.00, V_Y: -10.01, P: 14.36, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.15, X: 100.00, Y: 88.30, V_X: 0.00, V_Y: -9.76, P: 14.31, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.19, X: 100.00, Y: 87.93, V_X: 0.00, V_Y: -10.02, P: 14.31, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.25, X: 100.00, Y: 87.32, V_X: 0.00, V_Y: -9.71, P: 14.25, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.29, X: 100.00, Y: 86.96, V_X: 0.00, V_Y: -9.97, P: 14.25, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.34, X: 100.00, Y: 86.46, V_X: 0.00, V_Y: -9.71, P: 14.20, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.36, X: 100.00, Y: 86.22, V_X: 0.00, V_Y: -9.88, P: 14.20, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.41, X: 100.00, Y: 85.75, V_X: 0.00, V_Y: -9.64, P: 14.15, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.44, X: 100.00, Y: 85.50, V_X: 0.00, V_Y: -9.81, P: 14.15, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.47, X: 100.00, Y: 85.15, V_X: 0.00, V_Y: -9.63, P: 14.11, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.50, X: 100.00, Y: 84.90, V_X: 0.00, V_Y: -9.81, P: 14.11, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.55, X: 100.00, Y: 84.43, V_X: 0.00, V_Y: -9.57, P: 14.06, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.58, X: 100.00, Y: 84.08, V_X: 0.00, V_Y: -9.82, P: 14.06, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.64, X: 100.00, Y: 83.48, V_X: 0.00, V_Y: -9.51, P: 14.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.68, X: 100.00, Y: 83.13, V_X: 0.00, V_Y: -9.77, P: 14.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.74, X: 100.00, Y: 82.54, V_X: 0.00, V_Y: -9.46, P: 13.94, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.78, X: 100.00, Y: 82.17, V_X: 0.00, V_Y: -9.73, P: 13.94, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.84, X: 100.00, Y: 81.56, V_X: 0.00, V_Y: -9.41, P: 13.88, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.88, X: 100.00, Y: 81.20, V_X: 0.00, V_Y: -9.68, P: 13.88, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.95, X: 100.00, Y: 80.59, V_X: 0.00, V_Y: -9.36, P: 13.81, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.97, X: 100.00, Y: 80.33, V_X: 0.00, V_Y: -9.55, P: 13.81, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.01, X: 100.00, Y: 79.98, V_X: 0.00, V_Y: -9.37, P: 13.77, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.03, X: 100.00, Y: 79.75, V_X: 0.00, V_Y: -9.54, P: 13.77, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.08, X: 100.00, Y: 79.31, V_X: 0.00, V_Y: -9.30, P: 13.73, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.12, X: 100.00, Y: 78.97, V_X: 0.00, V_Y: -9.55, P: 13.73, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.18, X: 100.00, Y: 78.41, V_X: 0.00, V_Y: -9.26, P: 13.67, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.21, X: 100.00, Y: 78.08, V_X: 0.00, V_Y: -9.50, P: 13.67, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.27, X: 100.00, Y: 77.53, V_X: 0.00, V_Y: -9.21, P: 13.61, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.31, X: 100.00, Y: 77.19, V_X: 0.00, V_Y: -9.46, P: 13.61, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.37, X: 100.00, Y: 76.63, V_X: 0.00, V_Y: -9.16, P: 13.55, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.41, X: 100.00, Y: 76.27, V_X: 0.00, V_Y: -9.42, P: 13.55, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.47, X: 100.00, Y: 75.72, V_X: 0.00, V_Y: -9.12, P: 13.49, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.49, X: 100.00, Y: 75.50, V_X: 0.00, V_Y: -9.29, P: 13.49, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.53, X: 100.00, Y: 75.16, V_X: 0.00, V_Y: -9.11, P: 13.45, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.55, X: 100.00, Y: 74.93, V_X: 0.00, V_Y: -9.28, P: 13.45, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.59, X: 100.00, Y: 74.58, V_X: 0.00, V_Y: -9.09, P: 13.41, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.61, X: 100.00, Y: 74.36, V_X: 0.00, V_Y: -9.25, P: 13.41, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.66, X: 100.00, Y: 73.91, V_X: 0.00, V_Y: -9.01, P: 13.36, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.70, X: 100.00, Y: 73.59, V_X: 0.00, V_Y: -9.26, P: 13.36, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.76, X: 100.00, Y: 73.05, V_X: 0.00, V_Y: -8.97, P: 13.31, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.79, X: 100.00, Y: 72.73, V_X: 0.00, V_Y: -9.22, P: 13.31, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.85, X: 100.00, Y: 72.19, V_X: 0.00, V_Y: -8.92, P: 13.25, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.89, X: 100.00, Y: 71.86, V_X: 0.00, V_Y: -9.17, P: 13.25, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.95, X: 100.00, Y: 71.32, V_X: 0.00, V_Y: -8.87, P: 13.19, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.99, X: 100.00, Y: 70.99, V_X: 0.00, V_Y: -9.12, P: 13.19, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.05, X: 100.00, Y: 70.45, V_X: 0.00, V_Y: -8.82, P: 13.13, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.08, X: 100.00, Y: 70.14, V_X: 0.00, V_Y: -9.07, P: 13.13, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.14, X: 100.00, Y: 69.60, V_X: 0.00, V_Y: -8.77, P: 13.07, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.18, X: 100.00, Y: 69.26, V_X: 0.00, V_Y: -9.03, P: 13.07, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.24, X: 100.00, Y: 68.74, V_X: 0.00, V_Y: -8.74, P: 13.01, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.26, X: 100.00, Y: 68.54, V_X: 0.00, V_Y: -8.90, P: 13.01, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.29, X: 100.00, Y: 68.24, V_X: 0.00, V_Y: -8.73, P: 12.97, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.32, X: 100.00, Y: 68.02, V_X: 0.00, V_Y: -8.90, P: 12.97, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.36, X: 100.00, Y: 67.67, V_X: 0.00, V_Y: -8.70, P: 12.93, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.38, X: 100.00, Y: 67.46, V_X: 0.00, V_Y: -8.86, P: 12.93, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.43, X: 100.00, Y: 67.06, V_X: 0.00, V_Y: -8.63, P: 12.89, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.46, X: 100.00, Y: 66.76, V_X: 0.00, V_Y: -8.87, P: 12.89, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.52, X: 100.00, Y: 66.25, V_X: 0.00, V_Y: -8.58, P: 12.83, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.56, X: 100.00, Y: 65.95, V_X: 0.00, V_Y: -8.82, P: 12.83, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.61, X: 100.00, Y: 65.45, V_X: 0.00, V_Y: -8.53, P: 12.77, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.65, X: 100.00, Y: 65.15, V_X: 0.00, V_Y: -8.78, P: 12.77, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.71, X: 100.00, Y: 64.65, V_X: 0.00, V_Y: -8.48, P: 12.71, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
