Cas: 0.00, X: 100.00, Y: 150.00, V_X: 0.00, V_Y: 0.00, P: 20.00, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.01, X: 100.00, Y: 150.00, V_X: 0.00, V_Y: -0.07, P: 20.00, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.04, X: 100.00, Y: 150.00, V_X: 0.16, V_Y: -0.25, P: 19.99, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.77, X: 100.28, Y: 139.09, V_X: 0.16, V_Y: -12.36, P: 19.99, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.83, X: 100.29, Y: 138.31, V_X: 0.16, V_Y: -12.04, P: 19.92, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.86, X: 100.29, Y: 137.99, V_X: 0.16, V_Y: -12.22, P: 19.92, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.89, X: 100.30, Y: 137.52, V_X: 0.16, V_Y: -12.03, P: 19.88, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.92, X: 100.30, Y: 137.21, V_X: 0.16, V_Y: -12.21, P: 19.88, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.97, X: 100.31, Y: 136.56, V_X: 0.16, V_Y: -11.94, P: 19.83, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.01, X: 100.32, Y: 136.11, V_X: 0.16, V_Y: -12.20, P: 19.83, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.06, X: 100.33, Y: 135.53, V_X: 0.16, V_Y: -11.96, P: 19.78, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.08, X: 100.33, Y: 135.24, V_X: 0.16, V_Y: -12.12, P: 19.78, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.13, X: 100.34, Y: 134.66, V_X: 0.16, V_Y: -11.88, P: 19.73, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.17, X: 100.34, Y: 134.22, V_X: 0.16, V_Y: -12.14, P: 19.73, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.23, X: 100.35, Y: 133.50, V_X: 0.16, V_Y: -11.84, P: 19.67, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.26, X: 100.36, Y: 133.07, V_X: 0.16, V_Y: -12.10, P: 19.67, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.33, X: 100.37, Y: 132.34, V_X: 0.16, V_Y: -11.79, P: 19.61, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.36, X: 100.37, Y: 131.91, V_X: 0.16, V_Y: -12.05, P: 19.61, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.42, X: 100.38, Y: 131.19, V_X: 0.16, V_Y: -11.74, P: 19.55, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.46, X: 100.39, Y: 130.76, V_X: 0.16, V_Y: -12.00, P: 19.55, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.52, X: 100.40, Y: 130.04, V_X: 0.16, V_Y: -11.69, P: 19.49, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.56, X: 100.40, Y: 129.61, V_X: 0.16, V_Y: -11.95, P: 19.49, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.62, X: 100.41, Y: 128.87, V_X: 0.16, V_Y: -11.63, P: 19.43, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.65, X: 100.42, Y: 128.44, V_X: 0.16, V_Y: -11.89, P: 19.43, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.72, X: 100.43, Y: 127.73, V_X: 0.16, V_Y: -11.59, P: 19.37, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.75, X: 100.44, Y: 127.31, V_X: 0.16, V_Y: -11.84, P: 19.37, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.80, X: 100.44, Y: 126.73, V_X: 0.16, V_Y: -11.59, P: 19.32, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.82, X: 100.45, Y: 126.45, V_X: 0.16, V_Y: -11.76, P: 19.32, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.87, X: 100.46, Y: 125.88, V_X: 0.16, V_Y: -11.52, P: 19.27, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.91, X: 100.46, Y: 125.45, V_X: 0.16, V_Y: -11.78, P: 19.27, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.97, X: 100.47, Y: 124.73, V_X: 0.16, V_Y: -11.47, P: 19.21, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.01, X: 100.48, Y: 124.31, V_X: 0.16, V_Y: -11.73, P: 19.21, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.07, X: 100.49, Y: 123.61, V_X: 0.16, V_Y: -11.43, P: 19.15, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.09, X: 100.49, Y: 123.33, V_X: 0.16, V_Y: -11.59, P: 19.15, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.13, X: 100.50, Y: 122.91, V_X: 0.16, V_Y: -11.41, P: 19.11, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.15, X: 100.50, Y: 122.63, V_X: 0.16, V_Y: -11.58, P: 19.11, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.19, X: 100.51, Y: 122.18, V_X: 0.16, V_Y: -11.38, P: 19.07, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.22, X: 100.51, Y: 121.90, V_X: 0.16, V_Y: -11.55, P: 19.07, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.27, X: 100.52, Y: 121.36, V_X: 0.16, V_Y: -11.31, P: 19.02, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.30, X: 100.52, Y: 120.94, V_X: 0.16, V_Y: -11.56, P: 19.02, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.36, X: 100.53, Y: 120.27, V_X: 0.16, V_Y: -11.27, P: 18.97, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.40, X: 100.54, Y: 119.85, V_X: 0.16, V_Y: -11.52, P: 18.97, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.46, X: 100.55, Y: 119.18, V_X: 0.16, V_Y: -11.22, P: 18.91, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.49, X: 100.55, Y: 118.77, V_X: 0.16, V_Y: -11.47, P: 18.91, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.55, X: 100.56, Y: 118.09, V_X: 0.16, V_Y: -11.18, P: 18.85, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.59, X: 100.57, Y: 117.68, V_X: 0.16, V_Y: -11.43, P: 18.85, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.65, X: 100.58, Y: 117.01, V_X: 0.16, V_Y: -11.13, P: 18.79, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.68, X: 100.59, Y: 116.60, V_X: 0.16, V_Y: -11.38, P: 18.79, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.75, X: 100.60, Y: 115.91, V_X: 0.16, V_Y: -11.07, P: 18.72, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.78, X: 100.60, Y: 115.52, V_X: 0.16, V_Y: -11.31, P: 18.72, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.83, X: 100.61, Y: 114.99, V_X: 0.16, V_Y: -11.08, P: 18.68, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.85, X: 100.61, Y: 114.74, V_X: 0.16, V_Y: -11.24, P: 18.68, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.90, X: 100.62, Y: 114.22, V_X: 0.16, V_Y: -11.01, P: 18.63, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.93, X: 100.62, Y: 113.83, V_X: 0.16, V_Y: -11.25, P: 18.63, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.99, X: 100.63, Y: 113.18, V_X: 0.16, V_Y: -10.96, P: 18.57, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.03, X: 100.64, Y: 112.79, V_X: 0.16, V_Y: -11.20, P: 18.57, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.08, X: 100.65, Y: 112.15, V_X: 0.16, V_Y: -10.91, P: 18.51, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.12, X: 100.65, Y: 111.77, V_X: 0.16, V_Y: -11.15, P: 18.51, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.17, X: 100.66, Y: 111.23, V_X: 0.16, V_Y: -10.91, P: 18.46, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.19, X: 100.67, Y: 110.97, V_X: 0.16, V_Y: -11.07, P: 18.46, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.24, X: 100.67, Y: 110.44, V_X: 0.16, V_Y: -10.82, P: 18.42, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.28, X: 100.68, Y: 110.03, V_X: 0.16, V_Y: -11.09, P: 18.42, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.33, X: 100.69, Y: 109.40, V_X: 0.16, V_Y: -10.80, P: 18.36, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.36, X: 100.69, Y: 109.15, V_X: 0.16, V_Y: -10.96, P: 18.36, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.39, X: 100.70, Y: 108.75, V_X: 0.16, V_Y: -10.78, P: 18.32, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.42, X: 100.70, Y: 108.49, V_X: 0.16, V_Y: -10.95, P: 18.32, L: 90.00, R: 110.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.47, X: 100.71, Y: 107.97, V_X: 0.16, V_Y: -10.71, P: 18.27, L: 90.00, R: 110.00, nahoru: 0, doleva: 0, doprava: 0
