Cas: 0.00, X: 100.00, Y: 30.00, V_X: 0.00, V_Y: 0.00, P: 15.00, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.59, X: 100.00, Y: 28.78, V_X: 0.00, V_Y: -4.13, P: 15.00, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.64, X: 100.00, Y: 28.58, V_X: 0.00, V_Y: -3.89, P: 14.95, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.68, X: 100.00, Y: 28.43, V_X: 0.00, V_Y: -4.16, P: 14.95, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.73, X: 100.00, Y: 28.23, V_X: 0.00, V_Y: -3.92, P: 14.90, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.75, X: 100.00, Y: 28.14, V_X: 0.00, V_Y: -4.09, P: 14.90, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.79, X: 100.00, Y: 28.00, V_X: 0.00, V_Y: -3.91, P: 14.87, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.82, X: 100.00, Y: 27.84, V_X: 0.00, V_Y: -4.18, P: 14.87, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.87, X: 100.00, Y: 27.64, V_X: 0.00, V_Y: -3.93, P: 14.82, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.90, X: 100.00, Y: 27.53, V_X: 0.00, V_Y: -4.12, P: 14.82, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 0.94, X: 100.00, Y: 27.36, V_X: 0.00, V_Y: -3.91, P: 14.78, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.98, X: 100.00, Y: 27.20, V_X: 0.00, V_Y: -4.18, P: 14.78, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.03, X: 100.00, Y: 27.01, V_X: 0.00, V_Y: -3.94, P: 14.73, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.05, X: 100.00, Y: 26.91, V_X: 0.00, V_Y: -4.11, P: 14.73, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.09, X: 100.00, Y: 26.76, V_X: 0.00, V_Y: -3.92, P: 14.69, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.11, X: 100.00, Y: 26.67, V_X: 0.00, V_Y: -4.09, P: 14.69, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.15, X: 100.00, Y: 26.52, V_X: 0.00, V_Y: -3.91, P: 14.65, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.19, X: 100.00, Y: 26.37, V_X: 0.00, V_Y: -4.16, P: 14.65, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.24, X: 100.00, Y: 26.17, V_X: 0.00, V_Y: -3.91, P: 14.60, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.27, X: 100.00, Y: 26.06, V_X: 0.00, V_Y: -4.10, P: 14.60, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.31, X: 100.00, Y: 25.89, V_X: 0.00, V_Y: -3.89, P: 14.56, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.34, X: 100.00, Y: 25.75, V_X: 0.00, V_Y: -4.15, P: 14.56, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.39, X: 100.00, Y: 25.55, V_X: 0.00, V_Y: -3.90, P: 14.51, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.43, X: 100.00, Y: 25.41, V_X: 0.00, V_Y: -4.15, P: 14.51, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.48, X: 100.00, Y: 25.21, V_X: 0.00, V_Y: -3.91, P: 14.46, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.51, X: 100.00, Y: 25.06, V_X: 0.00, V_Y: -4.16, P: 14.46, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.56, X: 100.00, Y: 24.87, V_X: 0.00, V_Y: -3.92, P: 14.42, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.59, X: 100.00, Y: 24.77, V_X: 0.00, V_Y: -4.09, P: 14.42, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.62, X: 100.00, Y: 24.62, V_X: 0.00, V_Y: -3.91, P: 14.38, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.66, X: 100.00, Y: 24.48, V_X: 0.00, V_Y: -4.16, P: 14.38, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.71, X: 100.00, Y: 24.29, V_X: 0.00, V_Y: -3.92, P: 14.33, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.73, X: 100.00, Y: 24.19, V_X: 0.00, V_Y: -4.08, P: 14.33, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.77, X: 100.00, Y: 24.05, V_X: 0.00, V_Y: -3.91, P: 14.30, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.80, X: 100.00, Y: 23.90, V_X: 0.00, V_Y: -4.16, P: 14.30, L: 80.00, R: 120.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.85, X: 100.00, Y: 23.71, V_X: 0.00, V_Y: -3.91, P: 14.25, L: 80.00, R: 120.00, nahoru: 0, doleva: 0, doprava: 0
