Cas: 1.79, X: 68.21, Y: 95.24, V_X: -1.00, V_Y: -3.09, P: 19.21, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.82, X: 68.18, Y: 95.14, V_X: -1.00, V_Y: -2.91, P: 19.18, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.86, X: 68.14, Y: 95.03, V_X: -1.00, V_Y: -3.16, P: 19.18, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.91, X: 68.09, Y: 94.89, V_X: -1.00, V_Y: -2.92, P: 19.13, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.94, X: 68.06, Y: 94.78, V_X: -1.00, V_Y: -3.16, P: 19.13, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.99, X: 68.01, Y: 94.64, V_X: -1.00, V_Y: -2.92, P: 19.08, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.01, X: 67.99, Y: 94.56, V_X: -1.00, V_Y: -3.10, P: 19.08, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.05, X: 67.95, Y: 94.45, V_X: -1.00, V_Y: -2.91, P: 19.05, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.09, X: 67.91, Y: 94.34, V_X: -1.00, V_Y: -3.16, P: 19.05, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.13, X: 67.87, Y: 94.20, V_X: -1.00, V_Y: -2.92, P: 19.00, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.16, X: 67.84, Y: 94.13, V_X: -1.00, V_Y: -3.09, P: 19.00, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.19, X: 67.81, Y: 94.02, V_X: -1.00, V_Y: -2.92, P: 18.96, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.23, X: 67.77, Y: 93.92, V_X: -1.00, V_Y: -3.16, P: 18.96, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.27, X: 67.73, Y: 93.78, V_X: -1.00, V_Y: -2.93, P: 18.92, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.30, X: 67.70, Y: 93.70, V_X: -1.00, V_Y: -3.10, P: 18.92, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.33, X: 67.67, Y: 93.60, V_X: -1.00, V_Y: -2.92, P: 18.88, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.36, X: 67.64, Y: 93.52, V_X: -1.00, V_Y: -3.08, P: 18.88, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.39, X: 67.61, Y: 93.42, V_X: -1.00, V_Y: -2.91, P: 18.85, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.43, X: 67.57, Y: 93.31, V_X: -1.00, V_Y: -3.15, P: 18.85, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.48, X: 67.52, Y: 93.16, V_X: -1.00, V_Y: -2.89, P: 18.80, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.51, X: 67.49, Y: 93.05, V_X: -1.00, V_Y: -3.14, P: 18.80, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.56, X: 67.44, Y: 92.91, V_X: -1.00, V_Y: -2.91, P: 18.75, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.59, X: 67.41, Y: 92.80, V_X: -1.00, V_Y: -3.16, P: 18.75, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.64, X: 67.36, Y: 92.66, V_X: -1.00, V_Y: -2.92, P: 18.70, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.67, X: 67.33, Y: 92.59, V_X: -1.00, V_Y: -3.08, P: 18.70, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
