Cas: 0.00, X: 100.00, Y: 100.00, V_X: 0.00, V_Y: -10.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.77, X: 100.00, Y: 71.44, V_X: 0.00, V_Y: -22.36, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.98, X: 100.00, Y: 66.81, V_X: 0.00, V_Y: -21.29, P: 14.79, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.00, X: 100.00, Y: 66.29, V_X: 0.00, V_Y: -21.46, P: 14.79, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.27, X: 100.00, Y: 60.78, V_X: 0.00, V_Y: -20.14, P: 14.52, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.29, X: 100.00, Y: 60.28, V_X: 0.00, V_Y: -20.31, P: 14.52, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.57, X: 100.00, Y: 54.75, V_X: 0.00, V_Y: -18.90, P: 14.24, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.60, X: 100.00, Y: 54.29, V_X: 0.00, V_Y: -19.07, P: 14.24, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.87, X: 100.00, Y: 49.24, V_X: 0.00, V_Y: -17.70, P: 13.97, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.90, X: 100.00, Y: 48.81, V_X: 0.00, V_Y: -17.86, P: 13.97, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.17, X: 100.00, Y: 44.10, V_X: 0.00, V_Y: -16.50, P: 13.69, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.19, X: 100.00, Y: 43.70, V_X: 0.00, V_Y: -16.67, P: 13.69, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.47, X: 100.00, Y: 39.29, V_X: 0.00, V_Y: -15.29, P: 13.42, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
