Cas: 0.00, X: 100.00, Y: 100.00, V_X: 0.00, V_Y: -10.00, P: 15.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.05, X: 100.00, Y: 99.48, V_X: 0.00, V_Y: -10.36, P: 15.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.16, X: 100.00, Y: 91.06, V_X: 0.00, V_Y: -4.79, P: 13.89, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.18, X: 100.00, Y: 90.98, V_X: 0.00, V_Y: -4.91, P: 13.89, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.20, X: 100.00, Y: 90.87, V_X: 0.00, V_Y: -4.79, P: 13.86, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.22, X: 100.00, Y: 90.79, V_X: 0.00, V_Y: -4.91, P: 13.86, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.24, X: 100.00, Y: 90.68, V_X: 0.00, V_Y: -4.79, P: 13.84, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.26, X: 100.00, Y: 90.60, V_X: 0.00, V_Y: -4.91, P: 13.84, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.28, X: 100.00, Y: 90.49, V_X: 0.00, V_Y: -4.80, P: 13.82, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.30, X: 100.00, Y: 90.41, V_X: 0.00, V_Y: -4.91, P: 13.82, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.32, X: 100.00, Y: 90.30, V_X: 0.00, V_Y: -4.80, P: 13.80, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.33, X: 100.00, Y: 90.23, V_X: 0.00, V_Y: -4.91, P: 13.80, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.36, X: 100.00, Y: 90.12, V_X: 0.00, V_Y: -4.80, P: 13.78, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.37, X: 100.00, Y: 90.04, V_X: 0.00, V_Y: -4.90, P: 13.78, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.39, X: 100.00, Y: 89.94, V_X: 0.00, V_Y: -4.80, P: 13.75, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.41, X: 100.00, Y: 89.86, V_X: 0.00, V_Y: -4.91, P: 13.75, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.43, X: 100.00, Y: 89.75, V_X: 0.00, V_Y: -4.80, P: 13.73, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.45, X: 100.00, Y: 89.67, V_X: 0.00, V_Y: -4.91, P: 13.73, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.47, X: 100.00, Y: 89.56, V_X: 0.00, V_Y: -4.79, P: 13.71, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.49, X: 100.00, Y: 89.48, V_X: 0.00, V_Y: -4.91, P: 13.71, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.51, X: 100.00, Y: 89.37, V_X: 0.00, V_Y: -4.80, P: 13.69, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.53, X: 100.00, Y: 89.30, V_X: 0.00, V_Y: -4.91, P: 13.69, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.55, X: 100.00, Y: 89.19, V_X: 0.00, V_Y: -4.79, P: 13.66, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.56, X: 100.00, Y: 89.11, V_X: 0.00, V_Y: -4.91, P: 13.66, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.59, X: 100.00, Y: 89.00, V_X: 0.00, V_Y: -4.80, P: 13.64, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.60, X: 100.00, Y: 88.92, V_X: 0.00, V_Y: -4.91, P: 13.64, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.63, X: 100.00, Y: 88.81, V_X: 0.00, V_Y: -4.79, P: 13.62, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.64, X: 100.00, Y: 88.73, V_X: 0.00, V_Y: -4.91, P: 13.62, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.66, X: 100.00, Y: 88.63, V_X: 0.00, V_Y: -4.79, P: 13.60, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.68, X: 100.00, Y: 88.55, V_X: 0.00, V_Y: -4.91, P: 13.60, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.70, X: 100.00, Y: 88.44, V_X: 0.00, V_Y: -4.79, P: 13.57, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.72, X: 100.00, Y: 88.36, V_X: 0.00, V_Y: -4.91, P: 13.57, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.74, X: 100.00, Y: 88.24, V_X: 0.00, V_Y: -4.79, P: 13.55, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.76, X: 100.00, Y: 88.17, V_X: 0.00, V_Y: -4.91, P: 13.55, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.78, X: 100.00, Y: 88.06, V_X: 0.00, V_Y: -4.79, P: 13.53, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.80, X: 100.00, Y: 87.98, V_X: 0.00, V_Y: -4.91, P: 13.53, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.82, X: 100.00, Y: 87.86, V_X: 0.00, V_Y: -4.79, P: 13.50, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.84, X: 100.00, Y: 87.78, V_X: 0.00, V_Y: -4.91, P: 13.50, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.86, X: 100.00, Y: 87.67, V_X: 0.00, V_Y: -4.79, P: 13.48, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.88, X: 100.00, Y: 87.59, V_X: 0.00, V_Y: -4.91, P: 13.48, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.90, X: 100.00, Y: 87.48, V_X: 0.00, V_Y: -4.79, P: 13.46, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.92, X: 100.00, Y: 87.40, V_X: 0.00, V_Y: -4.91, P: 13.46, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.94, X: 100.00, Y: 87.29, V_X: 0.00, V_Y: -4.79, P: 13.43, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.96, X: 100.00, Y: 87.21, V_X: 0.00, V_Y: -4.91, P: 13.43, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.98, X: 100.00, Y: 87.10, V_X: 0.00, V_Y: -4.80, P: 13.41, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.99, X: 100.00, Y: 87.03, V_X: 0.00, V_Y: -4.91, P: 13.41, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 0
