Cas: 0.00, X: 100.00, Y: 20.00, V_X: 0.00, V_Y: 0.00, P: 10.00, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.05, X: 100.00, Y: 19.99, V_X: 0.00, V_Y: -0.36, P: 10.00, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.70, X: 101.27, Y: 18.27, V_X: 3.91, V_Y: -4.92, P: 9.67, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.73, X: 101.37, Y: 18.15, V_X: 4.06, V_Y: -4.79, P: 9.64, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.74, X: 101.44, Y: 18.07, V_X: 4.16, V_Y: -4.91, P: 9.63, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.77, X: 101.54, Y: 17.96, V_X: 4.30, V_Y: -4.79, P: 9.59, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.78, X: 101.61, Y: 17.88, V_X: 4.40, V_Y: -4.91, P: 9.59, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.81, X: 101.71, Y: 17.76, V_X: 4.53, V_Y: -4.79, P: 9.55, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.82, X: 101.79, Y: 17.68, V_X: 4.63, V_Y: -4.91, P: 9.54, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.85, X: 101.90, Y: 17.57, V_X: 4.77, V_Y: -4.79, P: 9.51, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.86, X: 101.98, Y: 17.49, V_X: 4.87, V_Y: -4.91, P: 9.50, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.89, X: 102.09, Y: 17.38, V_X: 5.01, V_Y: -4.79, P: 9.46, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.90, X: 102.18, Y: 17.30, V_X: 5.11, V_Y: -4.91, P: 9.46, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.93, X: 102.30, Y: 17.18, V_X: 5.25, V_Y: -4.79, P: 9.42, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.94, X: 102.39, Y: 17.10, V_X: 5.36, V_Y: -4.91, P: 9.41, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.97, X: 102.52, Y: 16.99, V_X: 5.50, V_Y: -4.79, P: 9.38, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.98, X: 102.61, Y: 16.91, V_X: 5.60, V_Y: -4.91, P: 9.37, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.01, X: 102.74, Y: 16.79, V_X: 5.74, V_Y: -4.79, P: 9.33, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.02, X: 102.84, Y: 16.71, V_X: 5.83, V_Y: -4.91, P: 9.33, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.05, X: 102.98, Y: 16.60, V_X: 5.98, V_Y: -4.79, P: 9.29, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.06, X: 103.08, Y: 16.52, V_X: 6.08, V_Y: -4.91, P: 9.28, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.09, X: 103.22, Y: 16.40, V_X: 6.22, V_Y: -4.79, P: 9.25, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.10, X: 103.32, Y: 16.33, V_X: 6.31, V_Y: -4.91, P: 9.24, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.13, X: 103.47, Y: 16.21, V_X: 6.45, V_Y: -4.79, P: 9.20, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.14, X: 103.57, Y: 16.14, V_X: 6.55, V_Y: -4.91, P: 9.20, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.17, X: 103.73, Y: 16.02, V_X: 6.69, V_Y: -4.79, P: 9.16, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.18, X: 103.84, Y: 15.94, V_X: 6.79, V_Y: -4.91, P: 9.15, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.21, X: 104.00, Y: 15.83, V_X: 6.93, V_Y: -4.80, P: 9.12, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.22, X: 104.11, Y: 15.75, V_X: 7.03, V_Y: -4.91, P: 9.11, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.24, X: 104.27, Y: 15.64, V_X: 7.16, V_Y: -4.80, P: 9.08, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.26, X: 104.39, Y: 15.56, V_X: 7.26, V_Y: -4.91, P: 9.07, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.28, X: 104.55, Y: 15.46, V_X: 7.39, V_Y: -4.79, P: 9.04, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.30, X: 104.68, Y: 15.37, V_X: 7.49, V_Y: -4.91, P: 9.03, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.32, X: 104.86, Y: 15.26, V_X: 7.64, V_Y: -4.79, P: 8.99, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.34, X: 104.98, Y: 15.18, V_X: 7.73, V_Y: -4.91, P: 8.98, L: 100.00, R: 150.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.36, X: 105.16, Y: 15.07, V_X: 7.87, V_Y: -4.79, P: 8.95, L: 100.00, R: 150.00, nahoru: 0, doleva: 0, doprava: 1
