Cas: 0.00, X: 100.00, Y: 20.00, V_X: 0.00, V_Y: 0.00, P: 25.00, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.05, X: 100.00, Y: 19.99, V_X: 0.00, V_Y: -0.38, P: 25.00, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 1.25, X: 104.32, Y: 23.13, V_X: 7.20, V_Y: 5.62, P: 23.20, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.20, X: 111.15, Y: 30.72, V_X: 7.20, V_Y: 10.37, P: 22.25, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.45, X: 127.35, Y: 36.33, V_X: 7.20, V_Y: -5.38, P: 22.25, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.60, X: 128.43, Y: 35.58, V_X: 7.20, V_Y: -4.63, P: 22.10, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.75, X: 129.51, Y: 34.81, V_X: 7.20, V_Y: -5.68, P: 22.10, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.95, X: 130.95, Y: 33.77, V_X: 7.20, V_Y: -4.68, P: 21.90, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.05, X: 131.66, Y: 33.27, V_X: 7.20, V_Y: -5.38, P: 21.90, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.20, X: 132.75, Y: 32.52, V_X: 7.20, V_Y: -4.62, P: 21.75, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.35, X: 133.82, Y: 31.75, V_X: 7.20, V_Y: -5.66, P: 21.75, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.55, X: 135.27, Y: 30.71, V_X: 7.20, V_Y: -4.66, P: 21.55, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.65, X: 135.98, Y: 30.22, V_X: 7.20, V_Y: -5.35, P: 21.55, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 7.80, X: 151.46, Y: 30.27, V_X: 7.20, V_Y: 5.40, P: 19.40, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 9.05, X: 160.46, Y: 31.56, V_X: 7.20, V_Y: -3.35, P: 19.40, L: 150.00, R: 190.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 9.50, X: 163.09, Y: 29.34, V_X: 4.49, V_Y: -6.50, P: 19.17, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 9.70, X: 163.87, Y: 28.15, V_X: 3.30, V_Y: -5.51, P: 18.87, L: 150.00, R: 190.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 9.85, X: 164.29, Y: 27.24, V_X: 2.39, V_Y: -6.56, P: 18.80, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 10.00, X: 164.59, Y: 26.31, V_X: 1.50, V_Y: -5.81, P: 18.57, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 10.05, X: 164.66, Y: 26.03, V_X: 1.50, V_Y: -5.56, P: 18.52, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 10.20, X: 164.89, Y: 25.12, V_X: 1.50, V_Y: -6.61, P: 18.52, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 10.40, X: 165.19, Y: 23.89, V_X: 1.50, V_Y: -5.61, P: 18.32, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 10.50, X: 165.34, Y: 23.29, V_X: 1.50, V_Y: -6.31, P: 18.32, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 10.70, X: 165.64, Y: 22.13, V_X: 1.50, V_Y: -5.31, P: 18.12, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 10.80, X: 165.78, Y: 21.57, V_X: 1.50, V_Y: -6.01, P: 18.12, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 11.05, X: 166.16, Y: 20.22, V_X: 1.50, V_Y: -4.76, P: 17.87, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 11.15, X: 166.31, Y: 19.71, V_X: 1.50, V_Y: -5.46, P: 17.87, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 11.35, X: 166.61, Y: 18.72, V_X: 1.50, V_Y: -4.46, P: 17.67, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 11.45, X: 166.76, Y: 18.24, V_X: 1.50, V_Y: -5.15, P: 17.67, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 11.70, X: 167.13, Y: 17.10, V_X: 1.50, V_Y: -3.90, P: 17.42, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 11.80, X: 167.28, Y: 16.68, V_X: 1.50, V_Y: -4.60, P: 17.42, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 12.00, X: 167.58, Y: 15.86, V_X: 1.50, V_Y: -3.59, P: 17.22, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 12.15, X: 167.81, Y: 15.25, V_X: 1.50, V_Y: -4.63, P: 17.22, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 12.35, X: 168.11, Y: 14.42, V_X: 1.50, V_Y: -3.63, P: 17.02, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 12.50, X: 168.33, Y: 13.80, V_X: 1.50, V_Y: -4.68, P: 17.02, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 12.70, X: 168.63, Y: 12.96, V_X: 1.50, V_Y: -3.68, P: 16.82, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 12.80, X: 168.78, Y: 12.56, V_X: 1.50, V_Y: -4.37, P: 16.82, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 12.95, X: 169.01, Y: 11.96, V_X: 1.50, V_Y: -3.61, P: 16.67, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 13.10, X: 169.23, Y: 11.34, V_X: 1.50, V_Y: -4.66, P: 16.67, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 13.30, X: 169.53, Y: 10.51, V_X: 1.50, V_Y: -3.66, P: 16.47, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 13.40, X: 169.68, Y: 10.10, V_X: 1.50, V_Y: -4.37, P: 16.47, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 13.43, X: 169.72, Y: 10.00, V_X: 1.50, V_Y: -4.25, P: 16.45, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 0
Zdar!
