Cas: 0.00, X: 100.00, Y: 40.00, V_X: 0.00, V_Y: 0.00, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.06, X: 100.00, Y: 39.99, V_X: 0.00, V_Y: -0.40, P: 10.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 0.42, X: 100.00, Y: 40.18, V_X: 0.00, V_Y: 1.43, P: 9.27, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 0.58, X: 100.00, Y: 40.31, V_X: 0.00, V_Y: 0.33, P: 9.11, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 0.79, X: 100.00, Y: 40.49, V_X: 0.00, V_Y: 1.38, P: 8.69, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 0.94, X: 100.00, Y: 40.62, V_X: 0.00, V_Y: 0.29, P: 8.54, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.15, X: 100.00, Y: 40.79, V_X: 0.00, V_Y: 1.33, P: 8.12, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.25, X: 100.00, Y: 40.89, V_X: 0.00, V_Y: 0.60, P: 8.02, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.41, X: 100.00, Y: 41.04, V_X: 0.00, V_Y: 1.38, P: 7.71, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.56, X: 100.00, Y: 41.17, V_X: 0.00, V_Y: 0.29, P: 7.56, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.77, X: 100.00, Y: 41.34, V_X: 0.00, V_Y: 1.33, P: 7.14, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.88, X: 100.00, Y: 41.44, V_X: 0.00, V_Y: 0.60, P: 7.04, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 2.03, X: 100.00, Y: 41.60, V_X: 0.00, V_Y: 1.38, P: 6.72, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 2.19, X: 100.00, Y: 41.72, V_X: 0.00, V_Y: 0.29, P: 6.57, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 2.40, X: 100.00, Y: 41.89, V_X: 0.00, V_Y: 1.33, P: 6.15, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 2.50, X: 100.00, Y: 41.99, V_X: 0.00, V_Y: 0.60, P: 6.05, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
