Cas: 0.00, X: 100.00, Y: 20.00, V_X: -5.00, V_Y: 0.00, P: 10.00, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.06, X: 99.68, Y: 19.99, V_X: -5.00, V_Y: -0.45, P: 10.00, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.43, X: 98.24, Y: 20.16, V_X: -2.77, V_Y: 1.41, P: 9.44, L: 85.00, R: 115.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.60, X: 97.87, Y: 20.30, V_X: -1.81, V_Y: 0.28, P: 9.36, L: 85.00, R: 115.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.81, X: 97.62, Y: 20.47, V_X: -0.53, V_Y: 1.34, P: 9.04, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 0.92, X: 97.56, Y: 20.58, V_X: -0.53, V_Y: 0.56, P: 8.93, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.09, X: 97.47, Y: 20.74, V_X: -0.53, V_Y: 1.39, P: 8.60, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.24, X: 97.39, Y: 20.87, V_X: -0.53, V_Y: 0.30, P: 8.44, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.45, X: 97.28, Y: 21.04, V_X: -0.53, V_Y: 1.34, P: 8.03, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.56, X: 97.23, Y: 21.15, V_X: -0.53, V_Y: 0.61, P: 7.92, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.72, X: 97.14, Y: 21.31, V_X: -0.53, V_Y: 1.41, P: 7.60, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.87, X: 97.06, Y: 21.44, V_X: -0.53, V_Y: 0.31, P: 7.45, L: 85.00, R: 115.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 2.08, X: 96.95, Y: 21.61, V_X: -0.53, V_Y: 1.35, P: 7.03, L: 85.00, R: 115.00, nahoru: 0, doleva: 1, doprava: 1
