Cas: 0.00, X: 100.00, Y: 50.00, V_X: 0.00, V_Y: 5.00, P: 20.00, L: 40.00, R: 90.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.04, X: 100.00, Y: 50.22, V_X: 0.00, V_Y: 4.69, P: 20.00, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 0.20, X: 100.00, Y: 50.87, V_X: 0.00, V_Y: 3.57, P: 19.84, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 0.37, X: 100.00, Y: 51.52, V_X: 0.00, V_Y: 4.38, P: 19.52, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 0.48, X: 100.00, Y: 51.97, V_X: 0.00, V_Y: 3.59, P: 19.40, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 0.64, X: 100.00, Y: 52.62, V_X: 0.00, V_Y: 4.40, P: 19.08, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 0.80, X: 100.00, Y: 53.24, V_X: 0.00, V_Y: 3.26, P: 18.92, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.01, X: 100.00, Y: 54.04, V_X: 0.00, V_Y: 4.31, P: 18.50, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.12, X: 100.00, Y: 54.45, V_X: 0.00, V_Y: 3.58, P: 18.39, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.27, X: 100.00, Y: 55.07, V_X: 0.00, V_Y: 4.36, P: 18.08, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.38, X: 100.00, Y: 55.48, V_X: 0.00, V_Y: 3.63, P: 17.98, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.54, X: 100.00, Y: 56.12, V_X: 0.00, V_Y: 4.42, P: 17.66, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 1.69, X: 100.00, Y: 56.73, V_X: 0.00, V_Y: 3.32, P: 17.50, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 1.91, X: 100.00, Y: 57.54, V_X: 0.00, V_Y: 4.38, P: 17.08, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 2.06, X: 100.00, Y: 58.15, V_X: 0.00, V_Y: 3.28, P: 16.92, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 2.28, X: 100.00, Y: 58.96, V_X: 0.00, V_Y: 4.34, P: 16.50, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 2.38, X: 100.00, Y: 59.37, V_X: 0.00, V_Y: 3.61, P: 16.39, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 2.55, X: 100.00, Y: 60.05, V_X: 0.00, V_Y: 4.45, P: 16.05, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 2.71, X: 100.00, Y: 60.67, V_X: 0.00, V_Y: 3.35, P: 15.90, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 2.92, X: 100.00, Y: 61.51, V_X: 0.00, V_Y: 4.44, P: 15.46, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 3.09, X: 100.00, Y: 62.14, V_X: 0.00, V_Y: 3.29, P: 15.30, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 3.29, X: 100.00, Y: 62.93, V_X: 0.00, V_Y: 4.32, P: 14.89, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 3.40, X: 100.00, Y: 63.34, V_X: 0.00, V_Y: 3.59, P: 14.78, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 3.55, X: 100.00, Y: 63.95, V_X: 0.00, V_Y: 4.36, P: 14.47, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 3.66, X: 100.00, Y: 64.38, V_X: 0.00, V_Y: 3.61, P: 14.37, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 3.84, X: 100.00, Y: 65.11, V_X: 0.00, V_Y: 4.51, P: 14.01, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.02, X: 100.00, Y: 65.82, V_X: 0.00, V_Y: 3.22, P: 13.82, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.26, X: 100.00, Y: 66.71, V_X: 0.00, V_Y: 4.40, P: 13.35, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.42, X: 100.00, Y: 67.32, V_X: 0.00, V_Y: 3.29, P: 13.19, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.63, X: 100.00, Y: 68.14, V_X: 0.00, V_Y: 4.36, P: 12.77, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 4.73, X: 100.00, Y: 68.55, V_X: 0.00, V_Y: 3.64, P: 12.66, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 4.89, X: 100.00, Y: 69.18, V_X: 0.00, V_Y: 4.42, P: 12.35, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.04, X: 100.00, Y: 69.78, V_X: 0.00, V_Y: 3.34, P: 12.20, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.25, X: 100.00, Y: 70.59, V_X: 0.00, V_Y: 4.38, P: 11.78, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.41, X: 100.00, Y: 71.18, V_X: 0.00, V_Y: 3.30, P: 11.62, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.63, X: 100.00, Y: 72.02, V_X: 0.00, V_Y: 4.39, P: 11.19, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
Cas: 5.74, X: 100.00, Y: 72.47, V_X: 0.00, V_Y: 3.61, P: 11.08, L: 40.00, R: 90.00, nahoru: 1, doleva: 1, doprava: 1
Cas: 5.89, X: 100.00, Y: 73.09, V_X: 0.00, V_Y: 4.38, P: 10.77, L: 40.00, R: 90.00, nahoru: 0, doleva: 1, doprava: 1
