Cas: 0.00, X: 70.00, Y: 100.00, V_X: -1.00, V_Y: 0.00, P: 20.00, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.04, X: 69.96, Y: 99.99, V_X: -1.00, V_Y: -0.28, P: 20.00, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.64, X: 70.44, Y: 98.57, V_X: 2.60, V_Y: -4.48, P: 19.70, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.71, X: 70.63, Y: 98.28, V_X: 3.00, V_Y: -4.15, P: 19.60, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.76, X: 70.79, Y: 98.06, V_X: 3.30, V_Y: -4.50, P: 19.57, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.82, X: 71.02, Y: 97.77, V_X: 3.70, V_Y: -4.16, P: 19.47, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.86, X: 71.15, Y: 97.63, V_X: 3.90, V_Y: -4.40, P: 19.46, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 0.91, X: 71.35, Y: 97.42, V_X: 4.20, V_Y: -4.15, P: 19.38, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.96, X: 71.57, Y: 97.20, V_X: 4.50, V_Y: -4.50, P: 19.36, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.02, X: 71.87, Y: 96.91, V_X: 4.50, V_Y: -4.17, P: 19.29, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.07, X: 72.10, Y: 96.70, V_X: 4.80, V_Y: -4.52, P: 19.27, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.14, X: 72.42, Y: 96.41, V_X: 4.80, V_Y: -4.18, P: 19.20, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.17, X: 72.58, Y: 96.26, V_X: 4.80, V_Y: -4.42, P: 19.20, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.22, X: 72.82, Y: 96.05, V_X: 4.80, V_Y: -4.17, P: 19.15, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.27, X: 73.06, Y: 95.83, V_X: 4.80, V_Y: -4.52, P: 19.15, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.34, X: 73.39, Y: 95.54, V_X: 4.80, V_Y: -4.18, P: 19.08, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.39, X: 73.62, Y: 95.32, V_X: 4.80, V_Y: -4.52, P: 19.08, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.46, X: 73.94, Y: 95.03, V_X: 4.80, V_Y: -4.18, P: 19.02, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.51, X: 74.18, Y: 94.82, V_X: 4.80, V_Y: -4.53, P: 19.02, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.57, X: 74.50, Y: 94.53, V_X: 4.80, V_Y: -4.20, P: 18.95, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.61, X: 74.66, Y: 94.38, V_X: 4.80, V_Y: -4.43, P: 18.95, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.66, X: 74.90, Y: 94.17, V_X: 4.80, V_Y: -4.18, P: 18.90, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.71, X: 75.14, Y: 93.95, V_X: 4.80, V_Y: -4.53, P: 18.90, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.77, X: 75.46, Y: 93.66, V_X: 4.80, V_Y: -4.20, P: 18.83, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.81, X: 75.62, Y: 93.51, V_X: 4.80, V_Y: -4.43, P: 18.83, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.86, X: 75.86, Y: 93.30, V_X: 4.80, V_Y: -4.18, P: 18.78, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 1.91, X: 76.10, Y: 93.08, V_X: 4.80, V_Y: -4.53, P: 18.78, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 1.97, X: 76.42, Y: 92.79, V_X: 4.80, V_Y: -4.20, P: 18.72, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.01, X: 76.58, Y: 92.65, V_X: 4.80, V_Y: -4.43, P: 18.72, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.06, X: 76.82, Y: 92.43, V_X: 4.80, V_Y: -4.18, P: 18.66, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.11, X: 77.06, Y: 92.21, V_X: 4.80, V_Y: -4.53, P: 18.66, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.17, X: 77.38, Y: 91.92, V_X: 4.80, V_Y: -4.20, P: 18.60, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.21, X: 77.54, Y: 91.78, V_X: 4.80, V_Y: -4.43, P: 18.60, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.26, X: 77.79, Y: 91.56, V_X: 4.80, V_Y: -4.18, P: 18.55, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.31, X: 78.04, Y: 91.33, V_X: 4.80, V_Y: -4.55, P: 18.55, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.39, X: 78.43, Y: 90.98, V_X: 4.80, V_Y: -4.15, P: 18.47, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.44, X: 78.67, Y: 90.77, V_X: 4.80, V_Y: -4.50, P: 18.47, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.51, X: 78.99, Y: 90.48, V_X: 4.80, V_Y: -4.17, P: 18.40, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.56, X: 79.23, Y: 90.26, V_X: 4.80, V_Y: -4.52, P: 18.40, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.62, X: 79.55, Y: 89.97, V_X: 4.80, V_Y: -4.19, P: 18.33, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.66, X: 79.71, Y: 89.82, V_X: 4.80, V_Y: -4.42, P: 18.33, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.71, X: 79.95, Y: 89.61, V_X: 4.80, V_Y: -4.17, P: 18.29, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.76, X: 80.19, Y: 89.39, V_X: 4.80, V_Y: -4.52, P: 18.29, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.82, X: 80.51, Y: 89.10, V_X: 4.80, V_Y: -4.19, P: 18.22, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.86, X: 80.67, Y: 88.96, V_X: 4.80, V_Y: -4.42, P: 18.22, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 2.91, X: 80.91, Y: 88.74, V_X: 4.80, V_Y: -4.17, P: 18.17, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 2.96, X: 81.15, Y: 88.53, V_X: 4.80, V_Y: -4.52, P: 18.17, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.02, X: 81.47, Y: 88.24, V_X: 4.80, V_Y: -4.19, P: 18.10, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.06, X: 81.63, Y: 88.09, V_X: 4.80, V_Y: -4.42, P: 18.10, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.11, X: 81.87, Y: 87.88, V_X: 4.80, V_Y: -4.17, P: 18.05, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.16, X: 82.11, Y: 87.66, V_X: 4.80, V_Y: -4.52, P: 18.05, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.22, X: 82.43, Y: 87.37, V_X: 4.80, V_Y: -4.19, P: 17.99, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.26, X: 82.59, Y: 87.23, V_X: 4.80, V_Y: -4.42, P: 17.99, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.31, X: 82.85, Y: 87.00, V_X: 4.80, V_Y: -4.15, P: 17.93, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.36, X: 83.07, Y: 86.80, V_X: 4.80, V_Y: -4.48, P: 17.93, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.42, X: 83.39, Y: 86.51, V_X: 4.80, V_Y: -4.15, P: 17.87, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.47, X: 83.63, Y: 86.29, V_X: 4.80, V_Y: -4.50, P: 17.87, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.54, X: 83.95, Y: 86.00, V_X: 4.80, V_Y: -4.16, P: 17.80, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.59, X: 84.19, Y: 85.79, V_X: 4.80, V_Y: -4.51, P: 17.80, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.66, X: 84.51, Y: 85.50, V_X: 4.80, V_Y: -4.18, P: 17.73, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.71, X: 84.75, Y: 85.28, V_X: 4.80, V_Y: -4.53, P: 17.73, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.77, X: 85.07, Y: 84.99, V_X: 4.80, V_Y: -4.20, P: 17.66, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.81, X: 85.23, Y: 84.84, V_X: 4.80, V_Y: -4.43, P: 17.66, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.86, X: 85.47, Y: 84.63, V_X: 4.80, V_Y: -4.18, P: 17.61, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 3.91, X: 85.71, Y: 84.41, V_X: 4.80, V_Y: -4.53, P: 17.61, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 3.97, X: 86.03, Y: 84.12, V_X: 4.80, V_Y: -4.20, P: 17.55, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.01, X: 86.19, Y: 83.98, V_X: 4.80, V_Y: -4.43, P: 17.55, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.06, X: 86.43, Y: 83.76, V_X: 4.80, V_Y: -4.18, P: 17.50, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 4.11, X: 86.67, Y: 83.54, V_X: 4.80, V_Y: -4.53, P: 17.50, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 4.17, X: 86.99, Y: 83.25, V_X: 4.80, V_Y: -4.20, P: 17.43, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
