Cas: 0.00, X: 60.00, Y: 120.00, V_X: 5.00, V_Y: 0.00, P: 35.00, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 0.17, X: 60.87, Y: 119.89, V_X: 5.00, V_Y: -1.21, P: 35.00, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 0.64, X: 63.85, Y: 118.57, V_X: 7.80, V_Y: -4.48, P: 34.77, L: 150.00, R: 190.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 0.83, X: 65.20, Y: 117.61, V_X: 6.69, V_Y: -5.78, P: 34.67, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 1.62, X: 72.44, Y: 110.78, V_X: 11.47, V_Y: -11.36, P: 34.27, L: 150.00, R: 190.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 1.89, X: 75.29, Y: 107.50, V_X: 9.87, V_Y: -13.23, P: 34.14, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 3.06, X: 90.89, Y: 87.30, V_X: 16.87, V_Y: -21.40, P: 33.56, L: 150.00, R: 190.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 3.36, X: 95.68, Y: 80.56, V_X: 15.07, V_Y: -23.50, P: 33.41, L: 150.00, R: 190.00, nahoru: 0, doleva: 0, doprava: 1
Cas: 3.51, X: 98.01, Y: 76.96, V_X: 15.97, V_Y: -24.55, P: 33.33, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 3.54, X: 98.55, Y: 76.14, V_X: 16.17, V_Y: -24.38, P: 33.28, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.61, X: 99.61, Y: 74.53, V_X: 15.78, V_Y: -24.05, P: 33.18, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 3.66, X: 100.41, Y: 73.34, V_X: 16.08, V_Y: -23.80, P: 33.11, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.71, X: 101.20, Y: 72.15, V_X: 15.78, V_Y: -23.55, P: 33.03, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 3.74, X: 101.73, Y: 71.37, V_X: 15.98, V_Y: -23.38, P: 32.98, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.79, X: 102.52, Y: 70.21, V_X: 15.68, V_Y: -23.13, P: 32.91, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 3.84, X: 103.32, Y: 69.06, V_X: 15.98, V_Y: -22.88, P: 32.83, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 3.91, X: 104.37, Y: 67.54, V_X: 15.58, V_Y: -22.55, P: 32.73, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 3.96, X: 105.16, Y: 66.42, V_X: 15.88, V_Y: -22.30, P: 32.66, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 4.02, X: 106.20, Y: 64.95, V_X: 15.48, V_Y: -21.96, P: 32.56, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 4.07, X: 106.98, Y: 63.86, V_X: 15.78, V_Y: -21.71, P: 32.48, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 4.12, X: 107.76, Y: 62.77, V_X: 15.48, V_Y: -21.46, P: 32.41, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 4.16, X: 108.28, Y: 62.06, V_X: 15.68, V_Y: -21.30, P: 32.36, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 4.21, X: 109.06, Y: 61.00, V_X: 15.38, V_Y: -21.05, P: 32.28, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 4.26, X: 109.83, Y: 59.96, V_X: 15.68, V_Y: -20.80, P: 32.21, L: 150.00, R: 190.00, nahoru: 0, doleva: 1, doprava: 0
Cas: 4.29, X: 110.39, Y: 59.20, V_X: 15.46, V_Y: -21.05, P: 32.19, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 4.31, X: 110.61, Y: 58.91, V_X: 15.38, V_Y: -20.98, P: 32.17, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 4.37, X: 111.65, Y: 57.52, V_X: 15.78, V_Y: -20.65, P: 32.07, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 4.44, X: 112.69, Y: 56.16, V_X: 15.38, V_Y: -20.31, P: 31.97, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 4.49, X: 113.46, Y: 55.15, V_X: 15.68, V_Y: -20.06, P: 31.89, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
Cas: 4.56, X: 114.49, Y: 53.82, V_X: 15.28, V_Y: -19.73, P: 31.79, L: 150.00, R: 190.00, nahoru: 1, doleva: 0, doprava: 1
Cas: 4.61, X: 115.27, Y: 52.84, V_X: 15.58, V_Y: -19.48, P: 31.72, L: 150.00, R: 190.00, nahoru: 1, doleva: 1, doprava: 0
